zone_id,capacity_points,n_stations,n_neighbours,n_hours,total_volume_kwh,total_volume_11kw_kwh,total_point_hours,mean_utilisation,peak_utilisation,hours_at_ceiling,share_at_ceiling,hours_above_90pct,kwh_per_point,mean_e_price,mean_s_price,mean_total_price
526,262,14,5,4344,1.67337e+06,1.67389e+06,255099,0.392702,1,3,0.000690608,3,6386.9,1.11166,0.605608,1.71727
1071,72,2,5,4344,656312,656554,99060.7,0.39231,1,9,0.00207182,11,9115.45,0.905834,0.729952,1.63579
965,129,2,4,4344,1.45252e+06,1.45315e+06,191922,0.391687,1,3,0.000690608,3,11259.8,0.705716,0.789933,1.49565
647,20,1,1,4344,33580.7,33611.1,4797.25,0.391678,1,282,0.0649171,282,1679.04,1,0.66,1.66
519,223,14,7,4344,5.17262e+06,4.3303e+06,169778,0.390874,0.973094,0,0,4,23195.6,1.22231,0.563636,1.78595
858,138,5,3,4344,4.44467e+06,1.24625e+06,162751,0.387564,1,2,0.000460405,4,32207.7,0.706308,0.701034,1.40734
888,140,6,4,4344,1.25066e+06,1.25135e+06,179909,0.386165,1,4,0.00092081,7,8933.28,0.780619,0.742268,1.52289
346,61,3,5,4344,8.42077e+06,8.4298e+06,60137.1,0.383891,1,4,0.00092081,9,138045,0.784738,0.715185,1.49992
227,73,7,6,4344,697168,697481,99595.5,0.377594,0.863014,0,0,0,9550.25,0.927081,0.775116,1.7022
595,137,2,6,4344,2.93027e+07,2.17037e+06,197190,0.377578,1,10,0.00230203,10,213889,0.695756,0.523269,1.21903
693,59,2,2,4344,194920,195341,27845.7,0.37724,1,3,0.000690608,3,3303.73,0.95,0.766775,1.71677
632,30,3,1,4344,229840,229884,32834.3,0.377152,0.833333,0,0,0,7661.32,0.933333,0.72,1.65333
991,17,4,6,4344,88167.3,88211,14404.5,0.375596,1,5,0.00115101,5,5186.31,0.71,0.76,1.47
1049,200,4,2,4344,2.29791e+06,2.29894e+06,306530,0.37336,1,3,0.000690608,3,11489.6,0.775775,0.744225,1.52
1026,77,5,4,4344,1.37559e+07,1.07617e+06,109533,0.373182,1,4,0.00092081,8,178649,1.01207,0.716254,1.72833
972,75,5,6,4344,681240,681694,97320,0.371924,1,5,0.00115101,5,9083.2,0.832,0.76,1.592
558,28,2,3,4344,33979.2,34001.6,4854.17,0.371383,1,5,0.00115101,5,1213.54,1.05,0.71,1.76
1164,88,13,4,4344,692339,692751,114278,0.369841,0.556818,0,0,0,7867.49,0.930355,0.760162,1.69052
1167,373,19,8,4344,2.17618e+07,4.08193e+06,535181,0.368109,1,2,0.000460405,5,58342.5,0.784819,0.729727,1.51455
340,23,1,3,4344,8512.88,8512.88,2432.25,0.365176,0.73913,0,0,0,370.125,0.711568,0.819378,1.53095
333,22,5,5,4344,149116,149216,21302.3,0.363877,1,8,0.00184162,10,6778.02,1.01124,0.76,1.77124
745,16,1,3,4344,170341,170478,24334.4,0.36313,1,5,0.00115101,5,10646.3,0.69,0.76,1.45
842,90,5,1,4344,860200,860264,122886,0.360756,1,2,0.000460405,4,9557.77,0.729557,0.79639,1.52595
704,141,8,7,4344,1.11607e+06,1.11666e+06,171502,0.36045,1,3,0.000690608,3,7915.41,0.790271,0.775032,1.5653
982,18,3,4,4344,176276,176355,25182.3,0.356788,1,5,0.00115101,5,9793.13,0.913333,0.76,1.67333
513,171,14,7,4344,1.59108e+06,1.59161e+06,227298,0.354949,1,2,0.000460405,4,9304.59,0.697305,0.746695,1.444
746,115,7,5,4344,1.08862e+06,1.08924e+06,155517,0.354946,1,5,0.00115101,5,9466.24,0.791429,0.76,1.55143
235,43,8,6,4344,316002,316162,45143.1,0.353797,0.953488,0,0,1,7348.87,0.775,0.76,1.535
690,70,2,3,4344,1.16809e+07,1.03207e+06,95484.1,0.353624,1,5,0.00115101,6,166870,0.921799,0.616858,1.53866
848,12,1,7,4344,61120.5,61185.9,8731.5,0.353495,1,6,0.00138122,35,5093.37,0.8,0.76,1.56
1172,9,2,4,4344,38110,38138.9,6141.08,0.34799,1,5,0.00115101,5,4234.45,1.045,0.76,1.805
576,72,4,3,4344,3.77604e+06,728436,87645.9,0.34415,1,2,0.000460405,2,52445,0.887315,0.712122,1.59944
703,233,14,6,4344,1.61656e+06,1.61752e+06,223772,0.344044,0.660944,0,0,0,6938.04,0.851587,0.749311,1.6009
108,33,5,6,4344,251883,252037,38578.7,0.340874,1,5,0.00115101,5,7632.82,0.75856,0.76144,1.52
701,12,2,4,4344,77110.8,77175.8,11015.8,0.34045,1,8,0.00184162,8,6425.9,1.25,0.76,2.01
883,12,2,4,4344,64862,64936.4,9266,0.338436,1,5,0.00115101,5,5405.17,0.91,0.76,1.67
552,49,2,2,4344,467947,468094,66849.6,0.336744,1,5,0.00115101,5,9549.94,0.78765,0.76253,1.55018
1067,49,4,6,4344,399153,399370,57668.8,0.336251,0.612245,0,0,0,8145.99,1.0875,0.76,1.8475
1083,44,2,4,4344,428215,428373,59372.6,0.334803,1,2,0.000460405,2,9732.15,0.876457,0.638223,1.51468
516,71,1,3,4344,986327,1.06196e+06,96519,0.333761,1,12,0.00276243,14,13891.9,0.834984,0.9164,1.75138
844,66,1,2,4344,1.68208e+07,938927,85331,0.330498,1,12,0.00276243,94,254861,0.662279,0.607424,1.2697
773,40,2,8,4344,650772,511764,46483.7,0.328983,1,5,0.00115101,5,16269.3,0.8,0.76,1.56
706,30,3,5,4344,168319,168369,36791.9,0.325645,0.9,0,0,0,5610.65,0.889516,0.757359,1.64687
805,12,1,4,4344,117931,117977,16847.3,0.325372,1,142,0.0326888,419,9827.61,1.5,0.76,2.26
1075,16,1,4,4344,151567,151674,21652.4,0.320514,1,5,0.00115101,5,9472.93,1.2,0.76,1.96
520,124,3,3,4344,512087,513079,73155.2,0.319776,0.927419,0,0,11,4129.73,1.02986,0.77336,1.80323
628,6,1,3,4344,1.01495e+06,74429.2,6766.33,0.318178,1,251,0.0577808,251,169158,0.762592,0.776105,1.5387
900,12,2,2,4344,101265,101318,14466.4,0.316682,1,7,0.00161142,7,8438.74,0.705007,0.76,1.46501
708,31,3,5,4344,5.59021e+06,394857,38320.2,0.315771,1,3,0.000690608,3,180329,0.92642,0.697795,1.62421
328,75,6,4,4344,539368,539707,82500.8,0.312115,0.96,0,0,2,7191.57,0.868461,0.750091,1.61855
592,88,2,4,4344,1.27872e+07,941860,85508.5,0.310024,0.761364,0,0,0,145309,0.997855,0.356984,1.35484
682,50,2,1,4344,6.31374e+06,627510,58661.8,0.307592,1,5,0.00115101,5,126275,0.922684,0.639635,1.56232
335,249,19,7,4344,1.74426e+06,1.71785e+06,253725,0.307103,0.694779,0,0,0,7005.05,1.0106,0.749289,1.75989
799,83,6,6,4344,698398,698784,102163,0.306913,1,5,0.00115101,5,8414.44,1.07333,0.76,1.83333
716,135,6,3,4344,2.1703e+06,1.05833e+06,149308,0.306655,1,4,0.00092081,4,16076.3,0.809002,0.751896,1.5609
330,30,4,6,4344,256168,278874,36595.4,0.304926,0.7,0,0,0,8538.93,0.9,0.76,1.66
208,13,2,3,4344,104553,104611,14936.2,0.30369,1,5,0.00115101,5,8042.55,1.35,0.76,2.11
802,58,4,4,4344,520837,521049,74405.3,0.303395,1,5,0.00115101,5,8979.94,1.2425,0.76,2.0025
983,17,2,4,4344,139547,139617,19935.3,0.303285,1,5,0.00115101,5,8208.67,0.81,0.76,1.57
852,8,1,6,4344,42284.4,42343.3,6213,0.299422,0.875,0,0,0,5285.55,0.72,0.76,1.48
1149,48,4,2,4344,337666,338019,49449.6,0.296971,0.583333,0,0,0,7034.71,0.737808,0.774957,1.51277
1121,37,5,6,4344,290734,290889,42803.8,0.292342,0.540541,0,0,0,7857.69,0.886226,0.76,1.64623
1043,68,6,2,4344,278101,278197,52240,0.291902,0.823529,0,0,0,4089.72,0.9,0.72,1.62
1137,130,12,4,4344,835935,836357,119419,0.290288,0.576923,0,0,0,6430.27,0.97041,0.760815,1.73122
781,35,3,5,4344,1.51095e+06,315788,40181.9,0.287378,0.714286,0,0,0,43170.1,0.855189,0.770637,1.62583
1166,82,8,6,4344,509208,509364,73821.2,0.286324,0.646341,0,0,0,6209.85,1.04875,0.715071,1.76382
891,54,1,4,4344,5.54905e+06,660503,59261.7,0.286244,0.518519,0,0,0,102760,0.641037,0.482962,1.124
729,39,3,6,4344,2.95978e+06,341258,33699.2,0.285484,0.717949,0,0,0,75891.9,1.01393,0.553597,1.56753
1068,227,16,7,4344,1.32101e+06,1.32128e+06,194513,0.282773,0.54185,0,0,0,5819.41,0.915522,0.76637,1.68189
855,186,19,5,4344,1.18068e+06,1.18132e+06,171175,0.281363,0.543011,0,0,0,6347.75,0.951053,0.76,1.71105
1085,59,5,5,4344,297036,297102,59269.4,0.280162,0.627119,0,0,0,5034.5,0.886684,0.796058,1.68274
1094,18,2,3,4344,150256,150332,21465.1,0.278494,1,8,0.00184162,8,8347.53,0.96,0.76,1.72
967,24,2,3,4344,186247,186357,26606.7,0.277792,0.708333,0,0,0,7760.3,0.94,0.76,1.7
966,185,6,6,4344,1.48645e+06,1.48723e+06,206264,0.27779,1,3,0.000690608,4,8034.84,0.763631,0.759905,1.52354
216,24,3,7,4344,169786,169897,24255.2,0.277711,0.833333,0,0,0,7074.42,0.863333,0.76,1.62333
700,99,6,6,4344,499220,499467,74029.2,0.275403,0.59596,0,0,0,5042.63,0.925305,0.769882,1.69519
506,162,8,5,4344,1.65121e+06,1.56701e+06,127445,0.275195,0.432099,0,0,0,10192.7,1.11033,0.644116,1.75444
527,146,5,4,4344,977601,977848,121553,0.27454,0.630137,0,0,0,6695.9,0.970622,0.759601,1.73022
887,36,1,2,4344,277766,277889,39680.8,0.271415,1,11,0.00253223,11,7715.72,0.7,0.76,1.46
987,45,3,5,4344,42295.8,42245.1,7036.5,0.271071,1,8,0.00184162,10,939.906,1.21667,0.773453,1.99012
1031,151,7,2,4344,1.70985e+06,1.02507e+06,140110,0.269996,0.596026,0,0,0,11323.5,0.87023,0.724459,1.59469
529,48,3,3,4344,330814,331079,47259.1,0.269443,0.520833,0,0,0,6891.95,0.717,0.763,1.48
958,45,5,5,4344,297519,297820,42502.7,0.266636,0.777778,0,0,0,6611.54,0.985603,0.771578,1.75718
1126,24,2,4,4344,125323,125364,20319.4,0.266263,0.75,0,0,0,5221.81,0.9,0.7,1.6
598,12,1,4,4344,94522.7,94563.2,13503.3,0.264081,1,10,0.00230203,10,7876.9,1.28,0.76,2.04
307,169,15,5,4344,1.01465e+06,1.01521e+06,163163,0.259,0.60355,0,0,0,6003.85,0.932,0.744794,1.67679
1162,22,2,1,4344,141653,141752,22732.4,0.257994,1,3,0.000690608,3,6438.78,0.905,0.7,1.605
709,56,7,5,4344,281306,281371,42262.8,0.256735,0.660714,0,0,0,5023.33,0.972857,0.765714,1.73857
643,34,3,2,4344,129374,129305,15325.1,0.255393,0.764706,0,0,0,3805.11,1.07761,0.790579,1.86818
849,74,4,5,4344,246986,247165,52703.8,0.254663,1,3,0.000690608,3,3337.65,1.03,0.76,1.79
751,72,4,4,4344,399486,399544,57069.5,0.252275,0.847222,0,0,0,5548.42,0.78,0.7,1.48
1000,194,14,4,4344,981110,981598,180619,0.252134,0.747423,0,0,0,5057.27,0.873465,0.739392,1.61286
1082,21,2,3,4344,76479.7,76569.5,13661.6,0.252061,0.714286,0,0,0,3641.89,1.04568,0.700288,1.74597
1159,114,9,2,4344,505421,505621,80111,0.25038,0.508772,0,0,0,4433.52,0.822445,0.773441,1.59589
223,187,16,2,4344,943014,810145,165062,0.249157,0.449198,0,0,0,5042.86,1.05002,0.728411,1.77843
1095,29,5,3,4344,185703,185776,26529,0.248682,0.827586,0,0,0,6403.55,0.963677,0.771962,1.73564
1009,207,11,6,4344,1.15018e+06,1.18133e+06,173891,0.248605,0.512077,0,0,0,5556.41,0.913818,0.748909,1.66273
724,180,8,3,4344,839570,839944,141947,0.248339,0.5,0,0,0,4664.28,0.983893,0.779063,1.76296
1011,332,41,5,4344,1.55421e+06,1.55509e+06,237192,0.247159,0.509036,0,0,0,4681.35,0.881168,0.754359,1.63553
329,254,17,4,4344,1.73953e+06,1.74053e+06,246336,0.246889,0.42126,0,0,0,6848.56,0.907,0.760059,1.66706
681,18,3,10,4344,77592.1,77646.1,11084.6,0.244705,1,5,0.00115101,5,4310.67,0.72,0.76,1.48
1100,69,7,4,4344,457866,458060,66546.6,0.244297,0.550725,0,0,0,6635.73,1.00286,0.76,1.76286
525,96,7,5,4344,468316,468537,83936.7,0.243686,0.427083,0,0,0,4878.29,0.944785,0.745822,1.69061
975,18,1,5,4344,113610,113694,16230,0.243554,1,5,0.00115101,5,6311.67,0.9,0.76,1.66
1173,38,7,4,4344,207514,207651,30821.6,0.242761,0.5,0,0,0,5460.89,1.01319,0.76,1.77319
217,129,10,4,4344,847082,847409,121541,0.242624,0.891473,0,0,0,6566.52,0.989003,0.76,1.749
323,41,1,6,4344,278831,279186,39833,0.240253,1,13,0.00299263,19,6800.76,1.2,0.7,1.9
699,54,8,5,4344,308161,308454,44023,0.239724,0.5,0,0,0,5706.69,0.9048,0.76183,1.66663
638,22,2,6,4344,57163.2,57212.6,8166.17,0.239065,0.772727,0,0,0,2598.33,1.25,0.615,1.865
777,121,6,0,4344,1.20138e+07,728228,75770.7,0.23607,0.68595,0,0,0,99287.3,0.999928,0.537432,1.53736
1115,62,5,6,4344,334317,334472,49649.6,0.235659,0.596774,0,0,0,5392.21,0.938,0.76,1.698
969,50,5,6,4344,347338,347515,49619.7,0.23497,0.76,0,0,0,6946.77,1.14,0.76,1.9
311,64,5,2,4344,249090,249163,37920.3,0.234402,0.5625,0,0,0,3892.03,1.01,0.648,1.658
512,86,11,5,4344,438577,438760,75471.8,0.234207,0.627907,0,0,0,5099.74,1.05705,0.754815,1.81187
1111,59,7,7,4344,345466,345609,51429.7,0.233457,0.440678,0,0,0,5855.36,0.85,0.76,1.61
587,132,6,6,4344,853488,1.07526e+06,118768,0.230368,0.704545,0,0,0,6465.82,1.1483,0.685033,1.83333
1099,18,1,4,4344,107065,107131,15295,0.229499,1,5,0.00115101,5,5948.06,0.79,0.76,1.55
1156,30,5,2,4344,117807,117915,16829.6,0.229236,0.5,0,0,0,3926.9,1.112,0.76,1.872
502,100,5,3,4344,688904,689259,72351,0.226205,0.7,0,0,0,6889.04,0.923103,0.771713,1.69482
903,57,2,3,4344,303376,303550,44605.3,0.222242,1,5,0.00115101,5,5322.38,1.1,0.76,1.86
321,44,4,5,4344,111978,112074,15996.8,0.219153,1,5,0.00115101,5,2544.95,1.25,0.57,1.82
109,39,5,6,4344,162142,162243,23163.1,0.21827,0.461538,0,0,0,4157.48,1.004,0.76,1.764
897,35,3,4,4344,665612,138070,17813.5,0.217183,0.657143,0,0,0,19017.5,0.841299,0.570853,1.41215
904,54,3,4,4344,282529,282720,40361.2,0.21664,0.796296,0,0,0,5232.01,0.783333,0.76,1.54333
332,147,12,10,4344,729999,730427,110007,0.216326,0.496599,0,0,0,4965.98,0.935,0.771667,1.70667
705,52,6,6,4344,279895,280002,39985,0.215908,0.5,0,0,0,5382.6,1,0.76,1.76
895,45,1,3,4344,5.39694e+06,336216,30452.1,0.21569,1,17,0.00391344,17,119932,0.736151,0.415889,1.15204
310,10,1,3,4344,46208.2,46237.7,6601.17,0.215447,1,8,0.00184162,8,4620.82,0.72,0.76,1.48
783,24,2,9,4344,33535.2,33570.2,4790.75,0.215283,0.458333,0,0,0,1397.3,1.2,0.76,1.96
1072,67,6,6,4344,220245,220425,38112,0.211852,0.731343,0,0,0,3287.24,0.830617,0.718852,1.54947
741,38,3,3,4344,227869,210048,27137,0.210526,0.5,0,0,0,5996.54,0.804514,0.792175,1.59669
712,50,5,4,4344,618641,385436,43793,0.210292,0.62,0,0,0,12372.8,1.10734,0.718658,1.826
1110,33,5,3,4344,88094.4,88177.3,12584.9,0.20961,1,5,0.00115101,5,2669.53,1.064,0.76,1.824
111,85,11,6,4344,240764,240883,45949.7,0.208501,0.352941,0,0,0,2832.52,1.06917,0.765481,1.83465
309,136,9,8,4344,231722,231768,39179.4,0.207526,0.426471,0,0,0,1703.84,0.907754,0.704041,1.61179
226,72,8,5,4344,735901,290380,51453.7,0.206142,0.638889,0,0,0,10220.8,0.998023,0.731149,1.72917
406,14,2,3,4344,61421.8,61460.7,10794.4,0.20405,0.642857,0,0,0,4387.27,1,0.76,1.76
584,55,4,6,4344,317028,317214,45289.7,0.203972,0.509091,0,0,0,5764.15,1.075,0.76,1.835
589,105,10,5,4344,1.04308e+06,571223,64083.5,0.201551,0.514286,0,0,0,9934.11,0.989994,0.690949,1.68094
123,28,3,4,4344,76235.2,76306.3,10890.8,0.200576,0.607143,0,0,0,2722.69,0.783333,0.76,1.54333
553,22,1,4,4344,62507.1,62533.9,8929.58,0.199471,0.727273,0,0,0,2841.23,1.7,0,1.7
322,24,2,5,4344,120529,120692,17218.4,0.198444,1,5,0.00115101,5,5022.04,0.72,0.76,1.48
1144,68,7,2,4344,252306,252482,38156.7,0.196535,0.485294,0,0,0,3710.38,0.710264,0.768451,1.47871
107,88,11,4,4344,313777,313904,44271.9,0.195619,0.306818,0,0,0,3565.65,0.926364,0.737275,1.66364
989,132,10,5,4344,617631,618045,96124.9,0.192874,0.439394,0,0,0,4679.02,0.976724,0.764072,1.7408
1168,43,6,3,4344,297378,311796,32145,0.191595,0.651163,0,0,0,6915.76,0.906667,0.76,1.66667
105,93,12,6,4344,272084,272244,40975.8,0.191119,0.354839,0,0,0,2925.64,1.12417,0.75,1.87417
998,118,9,5,4344,578801,579074,87209.4,0.191037,0.516949,0,0,0,4905.09,0.963778,0.747333,1.71111
1066,40,8,5,4344,182626,182740,28953.3,0.190311,0.725,0,0,0,4565.66,1,0.745,1.745
224,133,21,5,4344,489124,489437,78149.5,0.187579,0.323308,0,0,0,3677.63,1.07952,0.76,1.83952
325,49,5,6,4344,229213,229364,32744.7,0.185975,0.755102,0,0,0,4677.81,1.00563,0.737398,1.74303
1112,18,1,4,4344,74572.8,74684.2,10653.2,0.185889,0.722222,0,0,0,4142.93,0.9,0.76,1.66
326,106,7,10,4344,318688,318876,48340,0.185558,0.90566,0,0,1,3006.49,1.01714,0.742857,1.76
1087,70,8,6,4344,266427,325545,46756.1,0.184585,0.371429,0,0,0,3806.1,1.01,0.745,1.755
578,12,1,3,4344,37794.2,30033.7,2728.17,0.182378,0.5,0,0,0,3149.51,1.2,0.76,1.96
937,22,2,0,4344,16464.9,16485.6,2352.13,0.180233,0.772727,0,0,0,748.403,0.86,0.64,1.5
1074,62,7,5,4344,296527,296656,42495.7,0.180113,0.5,0,0,0,4782.7,0.964286,0.755969,1.72026
1015,96,4,4,4344,444765,444969,63537.8,0.179753,0.427083,0,0,0,4632.97,1.1,0.76,1.86
979,16,1,4,4344,74334.8,74386.1,10619.2,0.179623,0.5625,0,0,0,4645.92,1,0.76,1.76
1081,47,4,3,4344,212108,212254,30301.1,0.179612,0.446809,0,0,0,4512.93,1.03,0.745,1.775
1119,93,8,4,4344,419521,419770,59931.6,0.176614,0.408602,0,0,0,4510.98,0.978078,0.718172,1.69625
731,60,5,4,4344,221924,222074,33409.2,0.175466,0.516667,0,0,0,3698.73,1.29,0.608,1.898
206,127,8,6,4344,418440,418804,68688.1,0.175101,0.551181,0,0,0,3294.81,1.10726,0.75199,1.85925
1090,34,1,6,4344,119278,119318,18997.7,0.174202,0.676471,0,0,0,3508.18,1.32,0.76,2.08
1120,91,10,3,4344,229783,229854,40709.3,0.173826,0.637363,0,0,0,2525.09,0.978169,0.711,1.68917
213,74,11,3,4344,266491,266601,38333.7,0.172472,0.364865,0,0,0,3601.23,1.07727,0.76,1.83727
1088,69,5,7,4344,166431,166486,39762.1,0.172086,0.623188,0,0,0,2412.05,1.01,0.736,1.746
1102,104,14,4,4344,422242,422401,63705.1,0.171705,0.365385,0,0,0,4060.02,0.943171,0.747069,1.69024
710,83,7,6,4344,272973,273173,41220.9,0.17088,0.349398,0,0,0,3288.83,1.01714,0.742857,1.76
1061,99,11,7,4344,401857,402178,58819.7,0.170524,0.414141,0,0,0,4059.17,0.75,0.76,1.51
862,36,2,6,4344,180158,180232,25736.9,0.168214,0.666667,0,0,0,5004.4,0.97,0.76,1.73
644,48,3,4,4344,212574,212696,30367.7,0.166247,0.729167,0,0,0,4428.62,0.94,0.76,1.7
984,16,2,6,4344,71923.3,71973,10274.7,0.16594,0.75,0,0,0,4495.2,0.9,0.76,1.66
1106,22,8,5,4344,64487.2,64502.5,9522.08,0.165584,0.590909,0,0,0,2931.24,1.05875,0.745,1.80375
320,25,4,8,4344,56180.1,56201.1,9387.75,0.162468,0.48,0,0,0,2247.2,0.984,0.761,1.745
1062,102,11,9,4344,312760,312924,46135.7,0.161574,0.539216,0,0,0,3066.27,1.07,0.672727,1.74273
577,24,1,3,4344,120238,120401,14147.9,0.158926,0.541667,0,0,0,5009.93,1.2,0.76,1.96
728,22,2,3,4344,171641,137237,13011.2,0.158866,0.5,0,0,0,7801.87,1,0.76,1.76
204,57,8,7,4344,179647,179747,25663.8,0.158616,0.368421,0,0,0,3151.7,0.964917,0.755656,1.72057
988,55,4,7,4344,187456,187593,33656.1,0.157892,0.709091,0,0,0,3408.29,0.710557,0.774497,1.48505
1125,10,2,3,4344,23023,23029.7,3289,0.157574,1,10,0.00230203,10,2302.3,1.14,0.76,1.9
343,28,1,2,4344,106240,106271,15177.1,0.156858,0.892857,0,0,0,3794.27,0.76,0.76,1.52
124,56,5,5,4344,208883,209009,30583.3,0.156441,0.464286,0,0,0,3730.05,1.02,0.76,1.78
1154,22,3,1,4344,63044.9,63082.9,9006.42,0.155151,0.454545,0,0,0,2865.68,0.743847,0.780165,1.52401
1076,42,5,6,4344,176611,176652,25230.2,0.155041,0.428571,0,0,0,4205.03,0.948,0.76,1.708
110,69,11,3,4344,145130,140488,19208.2,0.151922,0.463768,0,0,0,2103.33,1.00545,0.758182,1.76364
1135,48,6,6,4344,59204.8,59260,8457.83,0.150737,0.291667,0,0,0,1233.43,1,0.76,1.76
637,35,4,2,4344,989836,164490,19459.3,0.150253,0.542857,0,0,0,28281,0.85992,0.625242,1.48516
977,29,1,4,4344,94711.5,94764.3,14534.2,0.149858,0.62069,0,0,0,3265.91,1.2,0.76,1.96
347,29,4,7,4344,78593.1,78622.5,11227.6,0.149632,0.413793,0,0,0,2710.11,0.99,0.76,1.75
