zone_id,e_price_mean,e_price_std,e_price_changes,s_price_mean,s_price_std,s_price_changes,total_price_mean
1081,1.03,0,1,0.745,0,1,1.775
1082,1.04568,0.0604851,73,0.700288,0.0243074,83,1.74597
1083,0.876457,0.0300014,709,0.638223,0.0639474,900,1.51468
1085,0.886684,0.211317,1324,0.796058,0.180695,1573,1.68274
1087,1.01,0,1,0.745,0,1,1.755
1088,1.01,0,1,0.736,0,1,1.746
1090,1.32,0,1,0.76,0,1,2.08
1092,0.75,0,1,0.64,0,1,1.39
1094,0.96,0,1,0.76,0,1,1.72
1095,0.963677,0.0706352,1243,0.771962,0.0605693,1483,1.73564
1096,0.968889,0,1,0.746667,0,1,1.71556
1098,1.04809,0.0904628,1169,0.67048,0.074766,1185,1.71857
1099,0.79,0,1,0.76,0,1,1.55
1100,1.00286,0,1,0.76,0,1,1.76286
1102,0.943171,0.025639,1254,0.747069,0.0216515,1484,1.69024
1104,0.973333,0,1,0.76,0,1,1.73333
1106,1.05875,0,1,0.745,0,1,1.80375
1107,0.96,0,1,0.76,0,1,1.72
1109,0.932,0,1,0.76,0,1,1.692
1110,1.064,0,1,0.76,0,1,1.824
1111,0.85,0,1,0.76,0,1,1.61
1112,0.9,0,1,0.76,0,1,1.66
1113,1.04656,0.00037059,45,0.747887,0.00037059,45,1.79444
1114,1.01498,0,1,0.750017,0,1,1.765
1115,0.938,0,1,0.76,0,1,1.698
1119,0.978077,0.000129529,14,0.718173,0.000129529,14,1.69625
1120,0.978169,0.00527556,61,0.711,0,1,1.68917
1121,0.886226,0.00114373,21,0.76,0,1,1.64623
1124,0.954336,0.0696824,1086,0.713664,0.07185,1086,1.668
1125,1.14,0,1,0.76,0,1,1.9
1126,0.9,0,1,0.7,0,1,1.6
1130,1.05,0,1,0.76,0,1,1.81
1134,1.0375,0,1,0.76,0,1,1.7975
1135,1,0,1,0.76,0,1,1.76
1137,0.97041,0.0271021,1447,0.760815,0.0312418,1617,1.73122
1138,0.88,0,1,0.76,0,1,1.64
1143,0.846667,0,1,0.76,0,1,1.60667
1144,0.710264,0.0505497,1235,0.768451,0.0433729,1476,1.47871
1149,0.737808,0.0883002,1238,0.774957,0.0757907,1480,1.51277
1154,0.743847,0.117761,1236,0.780165,0.100857,1477,1.52401
1156,1.112,0,1,0.76,0,1,1.872
1159,0.822445,0.0782483,1301,0.773441,0.0670106,1547,1.59589
1162,0.905,0,1,0.7,0,1,1.605
1163,0.7,0,1,0.76,0,1,1.46
1164,0.930355,0.00725446,64,0.760162,0,1,1.69052
1166,1.04875,0,1,0.715071,0.00610957,60,1.76382
1167,0.784819,0.0312069,1145,0.729726,0.0230173,1465,1.51455
1168,0.906667,0,1,0.76,0,1,1.66667
1172,1.045,0,1,0.76,0,1,1.805
1173,1.01319,0.0125609,14,0.76,0,1,1.77319
