zone_id,window_start,window_end,window_utilisation
506,3,6,0.308415
903,0,3,0.308276
700,22,1,0.308198
1009,2,5,0.30711
1068,3,6,0.307038
326,10,13,0.306969
1031,2,5,0.302313
529,20,23,0.301195
975,0,3,0.299526
206,11,14,0.298846
332,10,13,0.297289
709,2,5,0.2962
587,0,3,0.293326
525,2,5,0.292595
329,3,6,0.291629
1173,2,5,0.290749
681,0,3,0.290052
1099,1,4,0.289621
307,2,5,0.288645
643,9,12,0.283544
1100,1,4,0.28303
699,1,4,0.281474
659,10,13,0.281223
777,20,23,0.280992
1011,3,6,0.280506
724,2,5,0.280448
512,20,23,0.280084
987,10,13,0.279759
310,4,7,0.279651
1159,2,5,0.279155
502,1,4,0.275717
904,3,6,0.274584
223,2,5,0.269722
897,3,6,0.268328
989,2,5,0.266032
638,0,3,0.26546
311,1,4,0.265368
712,1,4,0.258992
1111,3,6,0.258737
1156,3,6,0.258656
584,1,4,0.254087
1115,2,5,0.250656
1144,2,5,0.250513
1168,0,3,0.250361
1088,14,17,0.247458
741,3,6,0.244543
1062,11,14,0.243863
988,2,5,0.243622
1119,9,12,0.243436
862,3,6,0.242679
406,21,0,0.242179
1112,23,2,0.23595
109,3,6,0.23549
783,10,13,0.234496
1015,1,4,0.233547
589,1,4,0.232374
998,23,2,0.232016
577,1,4,0.23167
322,1,4,0.230216
320,10,13,0.23
1066,20,23,0.227326
1110,23,2,0.227273
215,10,13,0.225216
644,22,1,0.224685
705,10,13,0.223949
1074,22,1,0.221837
111,2,5,0.220497
309,4,7,0.220203
979,11,14,0.21772
937,10,13,0.215821
123,20,23,0.215601
107,2,5,0.214235
224,1,4,0.213834
594,3,6,0.207721
105,1,4,0.207406
124,2,5,0.206672
1090,2,5,0.205597
347,10,13,0.205293
637,3,6,0.204596
1087,22,1,0.203198
977,1,4,0.202152
655,9,12,0.198724
553,9,12,0.198687
731,3,6,0.197997
578,21,0,0.194121
1120,11,14,0.19235
728,1,4,0.191244
204,12,15,0.190993
732,10,13,0.190762
1081,9,12,0.186418
1102,1,4,0.18614
585,3,6,0.183624
1061,1,4,0.183032
984,19,22,0.182534
901,13,16,0.180233
710,10,13,0.179614
1154,3,6,0.178735
408,2,5,0.178499
1106,20,23,0.178471
1076,20,23,0.17811
213,10,13,0.176684
1143,3,6,0.174642
1125,19,22,0.173062
737,9,12,0.166505
324,10,13,0.165488
508,20,23,0.164703
804,3,6,0.159574
656,3,6,0.157519
110,1,4,0.156555
711,3,6,0.155381
1135,13,16,0.153888
1107,12,15,0.151647
686,9,12,0.14867
1134,12,15,0.146218
1096,4,7,0.145903
511,22,1,0.145607
1092,1,4,0.13792
214,0,3,0.137597
202,19,22,0.135081
225,9,12,0.131541
1104,3,6,0.130778
1163,16,19,0.130599
1138,16,19,0.126817
115,18,21,0.11906
902,12,15,0.117068
893,10,13,0.114879
1130,17,20,0.112957
205,20,23,0.11236
1113,2,5,0.110465
718,16,19,0.103359
631,10,13,0.101117
580,23,2,0.0994186
1109,19,22,0.0903239
212,11,14,0.0857738
348,2,5,0.085565
1114,9,12,0.081137
687,3,6,0.0796189
104,2,5,0.0735414
1060,11,14,0.0672965
