zone_id,volume_rated_kwh,volume_11kw_kwh,point_hours,implied_kw_rated,implied_kw_11,ratio
1100,457866,458060,66546.6,6.88038,6.8833,0.999575
1102,422242,422401,63705.1,6.62808,6.63058,0.999624
1104,68528.2,68551.6,9991.08,6.85894,6.86128,0.99966
1106,64487.2,64502.5,9522.08,6.77238,6.77399,0.999763
1107,30306.8,30336.4,5715.17,5.30287,5.30805,0.999024
1109,104115,104191,15150.6,6.87204,6.87701,0.999277
1110,88094.4,88177.3,12584.9,7,7.00659,0.99906
1111,345466,345609,51429.8,6.71725,6.72001,0.999588
1112,74572.8,74684.2,10653.2,7,7.01046,0.998508
1113,100014,100058,15260.8,6.55362,6.55653,0.999556
1114,75644.5,104847,11191,6.7594,9.36886,0.721475
1115,334317,334472,49649.6,6.73353,6.73665,0.999537
1119,419521,419770,59931.6,7,7.00415,0.999408
1120,229783,229854,40709.3,5.64449,5.64621,0.999695
1121,290734,290889,42803.8,6.79225,6.79587,0.999469
1124,4.16745e+06,438346,43047.1,96.8113,10.1829,9.50721
1125,23023,23029.7,3289,7,7.00204,0.999709
1126,125323,125364,20319.4,6.16766,6.16968,0.999673
1130,10424.2,10444.3,1489.17,7,7.01351,0.998073
1134,139020,139116,19860,7,7.00481,0.999313
1135,59204.8,59260,8457.83,7,7.00652,0.99907
1137,835935,836357,119419,7,7.00354,0.999495
1138,30363.7,30374.3,4337.67,7,7.00246,0.999649
1143,68824.6,68861,9832.08,7,7.00371,0.999471
1144,252306,252482,38156.8,6.61235,6.61698,0.999302
1149,337666,338019,49449.6,6.8285,6.83562,0.998958
1154,63044.9,63082.9,9006.42,7,7.00422,0.999398
1156,117807,117915,16829.6,7,7.00643,0.999082
1159,505421,505621,80111,6.30901,6.31151,0.999604
1162,141653,141752,22732.4,6.23133,6.23566,0.999306
1163,56193.1,56229.5,8027.58,7,7.00454,0.999352
1164,692339,692751,114278,6.05836,6.06196,0.999406
1166,509208,509364,73821.2,6.89785,6.89996,0.999694
1167,2.17618e+07,4.08193e+06,535181,40.6624,7.62719,5.33125
1168,297378,311796,32145,9.25113,9.69967,0.953757
1172,38110,38138.9,6141.08,6.20575,6.21044,0.999244
1173,207514,207651,30821.6,6.73274,6.73719,0.99934
