zone_id,marginal_energy_kwh_mean,marginal_energy_kwh_std,marginal_energy_kwh_p10,marginal_energy_kwh_p90,baseline_energy_kwh_mean,n_seeds,analytic_marginal_kwh,estimate,mean_utilisation,is_active_zone
511,0,0,0,0,3.62548e+07,20,0.00299442,rated,0.125,False
512,0,0,0,0,3.62548e+07,20,4.4181e-12,rated,0.234207,False
513,0,0,0,0,3.62548e+07,20,12.2237,rated,0.354949,True
516,1.78832,7.79512,0,0,3.62548e+07,20,19.9322,rated,0.333761,True
519,10.6635,14.5318,0,30.467,3.62548e+07,20,15.7424,rated,0.390874,True
520,0,0,0,0,3.62548e+07,20,0,rated,0.319776,False
522,14.6227,18.3914,-0.550161,27.4154,3.62548e+07,20,17.643,rated,0.490749,True
525,0,0,0,0,3.62548e+07,20,7.13592e-13,rated,0.243686,False
526,0,0,0,0,3.62548e+07,20,7.22498,rated,0.392702,True
527,0,0,0,0,3.62548e+07,20,4.98897e-08,rated,0.27454,False
528,4.74315,9.98748,-0.364904,24.5,3.62548e+07,20,15.5468,rated,0.497921,True
529,0,0,0,0,3.62548e+07,20,0.00158863,rated,0.269443,False
552,18.375,18.7789,0,49,3.62548e+07,20,13.6746,rated,0.336744,True
553,0,0,0,0,3.62548e+07,20,0.0328368,rated,0.199471,False
558,3.51482,39.3692,-7.51018,49,3.62548e+07,20,174.457,rated,0.371383,True
559,96.7031,176.225,-118.294,324.282,3.62548e+07,20,347.148,rated,0.417576,True
568,780.325,88.0893,661.5,882,3.62548e+07,20,674.584,rated,0.605456,True
570,600.44,74.0678,511.965,702.41,3.62548e+07,20,1017.05,rated,0.553769,True
575,3795.07,374.604,3387.88,4249.19,3.62548e+07,20,5400.09,rated,0.494069,True
576,50.4745,15.5258,43.0829,86.1659,3.62548e+07,20,56.3532,rated,0.34415,True
577,1.48727,6.48284,0,0,3.62548e+07,20,0.0718111,rated,0.158926,True
578,0,0,0,0,3.62548e+07,20,0.0199254,rated,0.182378,False
580,0,0,0,0,3.62548e+07,20,2.10511e-06,rated,0.0762661,False
582,3.98123,11.9437,0,3.98123,3.62548e+07,20,10.18,rated,0.419699,True
584,0,0,0,0,3.62548e+07,20,2.75143e-09,rated,0.203972,False
585,3.675,8.74825,0,24.5,3.62548e+07,20,2.74422,rated,0.142706,True
587,0,0,0,0,3.62548e+07,20,1.81383e-07,rated,0.230368,False
588,-3.83274,28.6239,0,2.39823,3.62548e+07,20,13.4558,rated,0.403015,True
589,0,0,0,0,3.62548e+07,20,0,rated,0.201551,False
592,0,0,0,0,3.62548e+07,20,19.8236,rated,0.310024,True
594,0,0,0,0,3.62548e+07,20,0.000660735,rated,0.148405,False
595,166.044,49.0432,146.204,272.755,3.62548e+07,20,221.505,rated,0.377578,True
596,358.731,198.919,93.1123,584.147,3.62548e+07,20,558.152,rated,0.581215,True
598,25.6954,61.7362,-77.5519,98,3.62548e+07,20,40.3875,rated,0.264081,True
601,-82.8389,89.9739,-211.616,4.28877,3.62548e+07,20,310.582,rated,0.479704,True
628,1116.48,291.553,777.927,1490.97,3.62548e+07,20,2623.08,rated,0.318178,True
631,0,0,0,0,3.62548e+07,20,1.73617e-08,rated,0.0935773,False
632,0,0,0,0,3.62548e+07,20,0.8477,rated,0.377152,False
633,98.2399,41.6339,56.723,162.446,3.62548e+07,20,165.939,rated,0.523586,True
637,0,0,0,0,3.62548e+07,20,6.35102e-07,rated,0.150253,False
638,0,0,0,0,3.62548e+07,20,13.5615,rated,0.239065,True
643,0,0,0,0,3.62548e+07,20,0.00721087,rated,0.255393,False
644,0,0,0,0,3.62548e+07,20,1.44794e-05,rated,0.166247,False
647,396.172,82.228,316.05,490,3.62548e+07,20,434.979,rated,0.391678,True
651,304.859,141.529,150.575,465.5,3.62548e+07,20,413.673,rated,0.702322,True
655,1.225,5.33965,0,0,3.62548e+07,20,0.0977321,rated,0.0953854,True
656,0,0,0,0,3.62548e+07,20,2.25915e-08,rated,0.129137,False
659,24.5,3.63735e-07,24.5,24.5,3.62548e+07,20,12.8411,rated,0.140858,True
681,9.8,12.0025,0,24.5,3.62548e+07,20,12.7371,rated,0.244705,True
682,194.434,19.4076,166.259,215.259,3.62548e+07,20,246.383,rated,0.307592,True
686,0,0,0,0,3.62548e+07,20,0,rated,0.124247,False
687,0,0,0,0,3.62548e+07,20,3.15424e-06,rated,0.0575842,False
690,244.642,61.9049,195.667,256.9,3.62548e+07,20,413.7,rated,0.353624,True
691,11.15,89.7442,-105.017,100.6,3.62548e+07,20,166.122,rated,0.490371,True
693,0,0,0,0,3.62548e+07,20,2.55647e-05,rated,0.37724,False
698,30.3302,23.5586,10.2124,51.0288,3.62548e+07,20,78.5863,rated,0.416104,True
699,0,0,0,0,3.62548e+07,20,2.60753e-08,rated,0.239724,False
700,0,0,0,0,3.62548e+07,20,0,rated,0.275403,False
701,18.4689,23.0106,0,51.45,3.62548e+07,20,42.9711,rated,0.34045,True
703,0,0,0,0,3.62548e+07,20,0,rated,0.344044,False
704,-0.0861668,0.375592,0,0,3.62548e+07,20,12.8355,rated,0.36045,True
705,0,0,0,0,3.62548e+07,20,6.84476e-06,rated,0.215908,False
706,0,0,0,0,3.62548e+07,20,0.128222,rated,0.325645,False
708,1269.64,372.64,727.079,1750.65,3.62548e+07,20,2910.15,rated,0.315771,True
709,0,0,0,0,3.62548e+07,20,3.67319e-09,rated,0.256735,False
710,0,0,0,0,3.62548e+07,20,0,rated,0.17088,False
711,0,0,0,0,3.62548e+07,20,1.827e-08,rated,0.136676,False
712,0,0,0,0,3.62548e+07,20,3.53294e-05,rated,0.210292,False
715,4609.13,506.844,4065.66,5311.5,3.62548e+07,20,7362.42,rated,0.59047,True
716,41.3968,17.0808,10.9379,58.1429,3.62548e+07,20,28.6527,rated,0.306655,True
718,0,0,0,0,3.62548e+07,20,0.012113,rated,0.100652,False
719,377.625,90.7382,262.446,493.1,3.62548e+07,20,710.253,rated,0.517802,True
724,0,0,0,0,3.62548e+07,20,0,rated,0.248339,False
728,0,0,0,0,3.62548e+07,20,0.00488097,rated,0.158866,False
729,0,0,0,0,3.62548e+07,20,3.31402,rated,0.285484,True
731,0,0,0,0,3.62548e+07,20,1.30112e-08,rated,0.175466,False
732,0,0,0,0,3.62548e+07,20,0.104074,rated,0.147844,False
733,1.225,5.33965,0,0,3.62548e+07,20,13.8849,rated,0.404477,True
737,0,0,0,0,3.62548e+07,20,4.18234e-11,rated,0.127193,False
741,0,0,0,0,3.62548e+07,20,4.56594e-05,rated,0.210526,False
744,0,0,0,0,3.62548e+07,20,0.00907534,rated,0.400338,False
745,86.0773,56.0591,22.9951,147.849,3.62548e+07,20,145.583,rated,0.36313,True
746,13.475,16.3894,0,26.95,3.62548e+07,20,13.7644,rated,0.354946,True
751,0,0,0,0,3.62548e+07,20,0.306088,rated,0.252275,False
771,93.2802,40.2365,49.0546,155.359,3.62548e+07,20,214.858,rated,0.472021,True
773,39.6047,23.4517,24.3797,56,3.62548e+07,20,30.2371,rated,0.328983,True
775,7487.23,925.959,6098.81,8417.31,3.62548e+07,20,11649.6,rated,0.512245,True
777,0,0,0,0,3.62548e+07,20,0.0178914,rated,0.23607,False
781,0,0,0,0,3.62548e+07,20,2.32985,rated,0.287378,True
783,0,0,0,0,3.62548e+07,20,0.0116969,rated,0.215283,False
790,3.65209,7.30417,0,18.2604,3.62548e+07,20,9.85476,rated,0.445442,True
792,367.105,78.7727,256.055,473.21,3.62548e+07,20,554.083,rated,0.417012,True
795,0,0,0,0,3.62548e+07,20,12.4469,rated,0.415755,True
799,0,0,0,0,3.62548e+07,20,13.3571,rated,0.306913,True
802,1.225,5.33965,0,0,3.62548e+07,20,13.5957,rated,0.303395,True
804,0,0,0,0,3.62548e+07,20,2.55467e-11,rated,0.134752,False
805,127.631,120.394,-76.551,266.634,3.62548e+07,20,370.815,rated,0.325372,True
809,13.3044,17.5361,-13.1028,24.5,3.62548e+07,20,51.5447,rated,0.490376,True
832,1.46777,5.45692,0,0.759639,3.62548e+07,20,19.286,rated,0.44933,True
842,15.925,14.0208,0,24.5,3.62548e+07,20,13.7048,rated,0.360756,True
844,2578.44,283.527,2290.15,2897.95,3.62548e+07,20,3024.78,rated,0.330498,True
848,127.864,57.3927,71.05,196.085,3.62548e+07,20,160.556,rated,0.353495,True
849,26.2433,8.03534,16.4021,32.8041,3.62548e+07,20,9.1315,rated,0.254663,True
851,3.55119,8.26748,-0.39296,19.8907,3.62548e+07,20,12.1712,rated,0.462046,True
852,32.071,21.0309,0,52.1122,3.62548e+07,20,92.0171,rated,0.299422,True
855,0,0,0,0,3.62548e+07,20,0,rated,0.281363,False
858,41.6389,15.7312,28.2621,54.6193,3.62548e+07,20,54.3058,rated,0.387564,True
862,0,0,0,0,3.62548e+07,20,0.00410728,rated,0.168214,False
881,120.632,38.3096,73.9908,174.102,3.62548e+07,20,172.363,rated,0.457486,True
882,779.125,111.883,659.067,913.85,3.62548e+07,20,1078.86,rated,0.752778,True
883,69.8758,48.5407,19.6169,102.9,3.62548e+07,20,93.1821,rated,0.338436,True
887,1.225,5.33965,0,0,3.62548e+07,20,13.3773,rated,0.271415,True
888,0,0,0,0,3.62548e+07,20,13.71,rated,0.386165,True
890,0.6125,2.66983,0,0,3.62548e+07,20,6.34321,rated,0.551335,True
891,0,0,0,0,3.62548e+07,20,0.00579261,rated,0.286244,False
893,0,0,0,0,3.62548e+07,20,0.0038137,rated,0.0922537,False
895,356.292,65.8952,292.589,495.603,3.62548e+07,20,449.007,rated,0.21569,True
897,0,0,0,0,3.62548e+07,20,0.682651,rated,0.217183,False
900,35.525,28.4401,11.025,85.75,3.62548e+07,20,73.0232,rated,0.316682,True
901,0,0,0,0,3.62548e+07,20,0.0235531,rated,0.0961908,False
902,0,0,0,0,3.62548e+07,20,0,rated,0.104078,False
903,0,0,0,0,3.62548e+07,20,13.1544,rated,0.222242,True
904,0,0,0,0,3.62548e+07,20,1.23366e-07,rated,0.21664,False
937,0,0,0,0,3.62548e+07,20,0.000837109,rated,0.180233,False
943,199.675,52.1309,122.5,269.5,3.62548e+07,20,302.004,rated,0.418136,True
958,0,0,0,0,3.62548e+07,20,0.00149976,rated,0.266636,False
965,0,0,0,0,3.62548e+07,20,14.9118,rated,0.391687,True
966,0,0,0,0,3.62548e+07,20,8.82726,rated,0.27779,True
967,0,0,0,0,3.62548e+07,20,0.938603,rated,0.277792,False
969,0,0,0,0,3.62548e+07,20,0.00561883,rated,0.23497,False
972,2.91484,13.7975,0,24.5,3.62548e+07,20,13.6512,rated,0.371924,True
974,19.6,9.8,0,24.5,3.62548e+07,20,9.08044,rated,0.405585,True
975,2.45,7.35,0,2.45,3.62548e+07,20,15.4878,rated,0.243554,True
977,0,0,0,0,3.62548e+07,20,0.000286729,rated,0.149858,False
979,0,0,0,0,3.62548e+07,20,0.426884,rated,0.179623,False
981,12.8494,11.3797,-2.43348,22.0665,3.62548e+07,20,16.137,rated,0.4125,True
982,16.0467,17.6929,0,24.5,3.62548e+07,20,55.5003,rated,0.356788,True
983,15.925,20.8969,-1.66893e-07,49,3.62548e+07,20,37.1488,rated,0.303285,True
984,0,0,0,0,3.62548e+07,20,0.902886,rated,0.16594,False
986,1.37915,6.01157,0,0,3.62548e+07,20,15.5179,rated,0.39909,True
987,0,0,0,0,3.62548e+07,20,11.5273,rated,0.271071,True
988,0,0,0,0,3.62548e+07,20,0.204775,rated,0.157892,False
989,0,0,0,0,3.62548e+07,20,0,rated,0.192874,False
991,10.2251,15.2036,-2.85854,23.5652,3.62548e+07,20,35.191,rated,0.375596,True
996,6.06428,10.5036,0,24.2571,3.62548e+07,20,10.1739,rated,0.406377,True
998,0,0,0,0,3.62548e+07,20,0,rated,0.191037,False
1000,0,0,0,0,3.62548e+07,20,0,rated,0.252134,False
1009,0,0,0,0,3.62548e+07,20,0,rated,0.248605,False
1011,0,0,0,0,3.62548e+07,20,0,rated,0.247159,False
1015,0,0,0,0,3.62548e+07,20,0,rated,0.179753,False
1026,350.977,79.8273,248.824,480.297,3.62548e+07,20,540.172,rated,0.373182,True
1029,16317.3,802.551,15495.2,17333.5,3.62548e+07,20,20375.4,rated,0.820877,True
1031,0,0,0,0,3.62548e+07,20,1.28334e-11,rated,0.269996,False
1043,0,0,0,0,3.62548e+07,20,2.96074e-08,rated,0.291902,False
1049,0,0,0,0,3.62548e+07,20,2.72685,rated,0.37336,True
1060,0,0,0,0,3.62548e+07,20,0,rated,0.0596081,False
1061,0,0,0,0,3.62548e+07,20,0,rated,0.170524,False
1062,0,0,0,0,3.62548e+07,20,0,rated,0.161574,False
1066,0,0,0,0,3.62548e+07,20,0.000643908,rated,0.190311,False
1067,0,0,0,0,3.62548e+07,20,0.0122454,rated,0.336251,False
1068,0,0,0,0,3.62548e+07,20,0,rated,0.282773,False
1071,2.47273,6.9352,0,4.98527,3.62548e+07,20,6.46889,rated,0.39231,True
1072,0,0,0,0,3.62548e+07,20,7.52421e-05,rated,0.211852,False
1074,0,0,0,0,3.62548e+07,20,9.37166e-08,rated,0.180113,False
1075,42.3842,36.8063,0.0776186,98,3.62548e+07,20,107.097,rated,0.320514,True
1076,0,0,0,0,3.62548e+07,20,7.4625e-08,rated,0.155041,False
1081,0,0,0,0,3.62548e+07,20,1.85572e-10,rated,0.179612,False
1082,0,0,0,0,3.62548e+07,20,0.330567,rated,0.252061,False
1083,1.54464,5.57412,0,0.564961,3.62548e+07,20,7.20039,rated,0.334803,True
1085,0,0,0,0,3.62548e+07,20,3.31539e-05,rated,0.280162,False
1087,0,0,0,0,3.62548e+07,20,0,rated,0.184585,False
1088,0,0,0,0,3.62548e+07,20,0.000296358,rated,0.172086,False
1090,0,0,0,0,3.62548e+07,20,2.15523e-08,rated,0.174202,False
1092,0,0,0,0,3.62548e+07,20,4.25263e-06,rated,0.122899,False
1094,3.675,8.74825,0,24.5,3.62548e+07,20,13.1297,rated,0.278494,True
1095,0,0,0,0,3.62548e+07,20,0.1164,rated,0.248682,False
1096,0,0,0,0,3.62548e+07,20,0,rated,0.135953,False
1098,138.849,26.3335,111.648,179.225,3.62548e+07,20,157.507,rated,0.430744,True
1099,2.55492,10.4212,0,24.5,3.62548e+07,20,15.9706,rated,0.229499,True
1100,0,0,0,0,3.62548e+07,20,5.62212e-13,rated,0.244297,False
1102,0,0,0,0,3.62548e+07,20,0,rated,0.171705,False
1104,0,0,0,0,3.62548e+07,20,1.03431e-07,rated,0.119369,False
1106,0,0,0,0,3.62548e+07,20,0.00860891,rated,0.165584,False
1107,0,0,0,0,3.62548e+07,20,0.404177,rated,0.121873,False
1109,0,0,0,0,3.62548e+07,20,0,rated,0.086922,False
1110,0,0,0,0,3.62548e+07,20,13.2352,rated,0.20961,True
1111,0,0,0,0,3.62548e+07,20,3.41982e-09,rated,0.233457,False
1112,0,0,0,0,3.62548e+07,20,1.97605,rated,0.185889,True
1113,0,0,0,0,3.62548e+07,20,0,rated,0.106155,False
1114,0,0,0,0,3.62548e+07,20,0,rated,0.0578908,False
1115,0,0,0,0,3.62548e+07,20,1.31573e-12,rated,0.235659,False
1119,0,0,0,0,3.62548e+07,20,1.24345e-12,rated,0.176614,False
1120,0,0,0,0,3.62548e+07,20,0,rated,0.173826,False
1121,0,0,0,0,3.62548e+07,20,0.0113236,rated,0.292342,False
1124,86.4053,13.6422,72.3113,96.8113,3.62548e+07,20,99.8847,rated,0.45702,True
1125,17.2957,15.5406,0,26.95,3.62548e+07,20,16.3468,rated,0.157574,True
1126,0,0,0,0,3.62548e+07,20,0.112676,rated,0.266263,False
1130,0,0,0,0,3.62548e+07,20,0.0242678,rated,0.10281,False
1134,0,0,0,0,3.62548e+07,20,0,rated,0.132886,False
1135,0,0,0,0,3.62548e+07,20,0,rated,0.150737,False
1137,0,0,0,0,3.62548e+07,20,0,rated,0.290288,False
1138,0,0,0,0,3.62548e+07,20,0.00125046,rated,0.115483,False
1143,0,0,0,0,3.62548e+07,20,1.36854e-08,rated,0.12577,False
1144,0,0,0,0,3.62548e+07,20,5.06648e-10,rated,0.196535,False
1149,0,0,0,0,3.62548e+07,20,9.79221e-05,rated,0.296971,False
1154,0,0,0,0,3.62548e+07,20,0.000344089,rated,0.155151,False
1156,0,0,0,0,3.62548e+07,20,0.000508393,rated,0.229236,False
1159,0,0,0,0,3.62548e+07,20,0,rated,0.25038,False
1162,3.27145,7.7876,0,21.8097,3.62548e+07,20,13.5833,rated,0.257994,True
1163,0,0,0,0,3.62548e+07,20,0.00456765,rated,0.115958,False
1164,0,0,0,0,3.62548e+07,20,0.000208978,rated,0.369841,False
1166,0,0,0,0,3.62548e+07,20,0.00657189,rated,0.286324,False
1167,67.0378,15.7764,54.7044,81.3248,3.62548e+07,20,80.8933,rated,0.368109,True
1168,0,0,0,0,3.62548e+07,20,9.38666e-06,rated,0.191595,False
1172,36.769,37.1381,-4.38593,88.5901,3.62548e+07,20,136.528,rated,0.34799,True
1173,0,0,0,0,3.62548e+07,20,0.000865537,rated,0.242761,False
102,64.7495,29.3201,38.9563,92.6364,1.52625e+07,20,162.22,11kw,0.473596,True
104,0,0,0,0,1.52625e+07,20,2.77783e-07,11kw,0.0629725,False
105,0,0,0,0,1.52625e+07,20,0,11kw,0.191119,False
106,0,0,0,0,1.52625e+07,20,1.73524,11kw,0.512082,True
107,0,0,0,0,1.52625e+07,20,0,11kw,0.195619,False
108,3.41044,8.17329,0,22.8657,1.52625e+07,20,14.5753,11kw,0.340874,True
109,0,0,0,0,1.52625e+07,20,4.5559e-06,11kw,0.21827,False
110,0,0,0,0,1.52625e+07,20,0,11kw,0.151922,False
111,0,0,0,0,1.52625e+07,20,0,11kw,0.208501,False
115,0,0,0,0,1.52625e+07,20,6.96095e-06,11kw,0.0887031,False
123,22.0706,17.166,0,49.0457,1.52625e+07,20,0.000755493,11kw,0.200576,True
124,0,0,0,0,1.52625e+07,20,2.76787e-12,11kw,0.156441,False
202,0,0,0,0,1.52625e+07,20,3.1103e-13,11kw,0.127185,False
204,0,0,0,0,1.52625e+07,20,2.48828e-14,11kw,0.158616,False
205,0,0,0,0,1.52625e+07,20,1.29388e-12,11kw,0.105244,False
206,0,0,0,0,1.52625e+07,20,0,11kw,0.175101,False
208,12.4394,14.6099,0,24.8055,1.52625e+07,20,24.6939,11kw,0.30369,True
212,0,0,0,0,1.52625e+07,20,5.82085e-12,11kw,0.0687624,False
213,0,0,0,0,1.52625e+07,20,0,11kw,0.172472,False
214,1.05592,4.60266,0,0,1.52625e+07,20,10.0509,11kw,0.129169,True
215,0,0,0,0,1.52625e+07,20,3.3124e-07,11kw,0.114052,False
216,0,0,0,0,1.52625e+07,20,0.153942,11kw,0.277711,False
217,0,0,0,0,1.52625e+07,20,2.29346,11kw,0.242624,True
223,0,0,0,0,1.52625e+07,20,0,11kw,0.249157,False
224,0,0,0,0,1.52625e+07,20,0,11kw,0.187579,False
225,0,0,0,0,1.52625e+07,20,0.00674853,11kw,0.105231,False
226,0,0,0,0,1.52625e+07,20,1.64804e-05,11kw,0.206142,False
227,0,0,0,0,1.52625e+07,20,2.37867,11kw,0.377594,True
235,0,0,0,0,1.52625e+07,20,6.21252,11kw,0.353797,True
307,0,0,0,0,1.52625e+07,20,0,11kw,0.259,False
309,0,0,0,0,1.52625e+07,20,0,11kw,0.207526,False
310,4.90336,9.80616,0,24.5157,1.52625e+07,20,18.5673,11kw,0.215447,True
311,0,0,0,0,1.52625e+07,20,0.0034215,11kw,0.234402,False
316,336.823,96.7553,235.669,444.13,1.52625e+07,20,565.364,11kw,0.482447,True
320,0,0,0,0,1.52625e+07,20,0.0135547,11kw,0.162468,False
321,0,0,0,0,1.52625e+07,20,13.4835,11kw,0.219153,True
322,2.45332,7.35995,0,2.45332,1.52625e+07,20,13.3402,11kw,0.198444,True
323,32.3665,18.9922,1.1626,49.1924,1.52625e+07,20,163.163,11kw,0.240253,True
324,0,0,0,0,1.52625e+07,20,2.03371e-08,11kw,0.118433,False
325,0,0,0,0,1.52625e+07,20,0.26268,11kw,0.185975,False
326,0,0,0,0,1.52625e+07,20,5.62454e-13,11kw,0.185558,False
328,0,0,0,0,1.52625e+07,20,0.00112958,11kw,0.312115,False
329,0,0,0,0,1.52625e+07,20,0,11kw,0.246889,False
330,1.33358,5.81294,0,0,1.52625e+07,20,4.84239,11kw,0.304926,True
331,4.68831,12.8082,-0.214789,24.5155,1.52625e+07,20,24.0864,11kw,0.481149,True
332,0,0,0,0,1.52625e+07,20,0,11kw,0.216326,False
333,3.8369,8.69571,0,24.4859,1.52625e+07,20,20.3252,11kw,0.363877,True
335,0,0,0,0,1.52625e+07,20,0,11kw,0.307103,False
340,0.6125,2.66983,0,0,1.52625e+07,20,3.28799,11kw,0.365176,True
343,5.10407,9.91654,0,24.5073,1.52625e+07,20,50.0545,11kw,0.156858,True
346,134.049,12.5584,115.668,140.176,1.52625e+07,20,140.189,11kw,0.383891,True
347,0,0,0,0,1.52625e+07,20,0.00274983,11kw,0.149632,False
348,0,0,0,0,1.52625e+07,20,1.64271e-10,11kw,0.0692666,False
406,0,0,0,0,1.52625e+07,20,2.27683,11kw,0.20405,True
408,0,0,0,0,1.52625e+07,20,0,11kw,0.139323,False
501,30.2192,25.0132,-1.0256,69.2612,1.52625e+07,20,38.855,11kw,0.461546,True
502,0,0,0,0,1.52625e+07,20,9.23976e-11,11kw,0.226205,False
506,0,0,0,0,1.52625e+07,20,0,11kw,0.275195,False
508,0,0,0,0,1.52625e+07,20,0,11kw,0.140637,False
511,0,0,0,0,1.52625e+07,20,0.0029949,11kw,0.125,False
512,0,0,0,0,1.52625e+07,20,4.41994e-12,11kw,0.234207,False
513,0,0,0,0,1.52625e+07,20,12.2278,11kw,0.354949,True
516,0,0,0,0,1.52625e+07,20,21.4606,11kw,0.333761,True
519,2.55058,7.65173,0,2.55058,1.52625e+07,20,13.1789,11kw,0.390874,True
520,0,0,0,0,1.52625e+07,20,0,11kw,0.319776,False
522,12.3927,24.0824,-0.0765202,49.4811,1.52625e+07,20,17.6486,11kw,0.490749,True
525,0,0,0,0,1.52625e+07,20,7.13929e-13,11kw,0.243686,False
526,0,0,0,0,1.52625e+07,20,7.22722,11kw,0.392702,True
527,0,0,0,0,1.52625e+07,20,4.99023e-08,11kw,0.27454,False
528,7.60293,11.658,0,24.5137,1.52625e+07,20,15.5554,11kw,0.497921,True
529,0,0,0,0,1.52625e+07,20,0.00158991,11kw,0.269443,False
552,22.0569,18.8247,0,49.0154,1.52625e+07,20,13.6789,11kw,0.336744,True
553,0,0,0,0,1.52625e+07,20,0.0328509,11kw,0.199471,False
558,21.516,18.184,0,39.1265,1.52625e+07,20,174.572,11kw,0.371383,True
559,325.118,58.3551,237.664,395.278,1.52625e+07,20,346.919,11kw,0.417576,True
568,774.159,120.508,636.846,949.35,1.52625e+07,20,651.856,11kw,0.605456,True
570,663.152,106.988,527.59,817.177,1.52625e+07,20,1017.52,11kw,0.553769,True
575,179.157,79.8992,97.7028,298.959,1.52625e+07,20,593.303,11kw,0.494069,True
576,3.01389,10.4246,-16.1802,8.31112,1.52625e+07,20,10.8711,11kw,0.34415,True
