zone_id,hour_of_day,is_weekend,n_obs,mean_occupancy,mean_utilisation,mean_volume_kwh,mean_point_hours,max_utilisation
105,1,1,52,20.1154,0.216294,77.0505,11.734,0.311828
105,2,1,52,20.3654,0.218983,78.262,11.9119,0.311828
105,3,1,52,20.4808,0.220223,79.2941,12.0545,0.311828
105,4,1,52,20.25,0.217742,77.2244,11.7548,0.311828
105,5,1,52,19.7692,0.212572,73.0457,11.1619,0.311828
105,6,1,52,19.0577,0.204921,70.0505,10.7163,0.301075
105,7,1,52,19.0577,0.204921,67.7171,10.3446,0.301075
105,8,1,52,18.3077,0.196857,65.109,9.95833,0.301075
105,9,1,52,18.3462,0.19727,63.4543,9.67949,0.301075
105,10,1,52,18.1154,0.194789,63.8357,9.66667,0.301075
105,11,1,52,18.25,0.196237,63.6282,9.58013,0.311828
105,12,1,52,18.1154,0.194789,64.492,9.66186,0.311828
105,13,1,52,18.3269,0.197064,63.1851,9.48558,0.311828
105,14,1,52,17.5769,0.188999,60.2628,9.06571,0.301075
105,15,1,52,17.6346,0.18962,60.9022,9.16346,0.301075
105,16,1,52,17.7115,0.190447,59.0513,8.88622,0.290323
105,17,1,52,17.1538,0.18445,58.4062,8.84936,0.268817
105,18,1,52,17.3269,0.186311,59.0569,8.98878,0.268817
105,19,1,52,17.8077,0.191481,62.8373,9.57212,0.290323
105,20,1,52,18.2885,0.19665,66.1915,10.0929,0.290323
105,21,1,52,18.7885,0.202026,69.2596,10.5849,0.301075
105,22,1,52,19.1538,0.205955,72.0697,11.0208,0.301075
105,23,1,52,19.9615,0.21464,73.27,11.1635,0.311828
106,0,0,129,49.0969,0.511426,84.095,12.0136,0.75
106,1,0,129,49.6124,0.516796,86.5549,12.365,0.760417
106,2,0,129,49.1163,0.511628,87.8256,12.5465,0.770833
106,3,0,129,49.8682,0.519461,86.4373,12.3482,0.75
106,4,0,129,49.1705,0.512193,84.4748,12.0678,0.760417
106,5,0,129,49.8992,0.519784,84.2532,12.0362,0.770833
106,6,0,129,50.2946,0.523902,83.073,11.8676,0.75
106,7,0,129,47.8217,0.498143,78.8857,11.2694,0.770833
106,8,0,129,48.9535,0.509932,76.991,10.9987,0.75
106,9,0,129,49.3023,0.513566,86.989,12.427,0.75
106,10,0,129,49.5116,0.515746,86.6906,12.3844,0.75
106,11,0,129,51.7054,0.538598,87.9341,12.562,0.78125
106,12,0,129,50.7984,0.529151,90.5433,12.9348,0.78125
106,13,0,129,50.4419,0.525436,89.2681,12.7526,0.78125
106,14,0,129,50.6202,0.527293,86.9348,12.4193,0.770833
106,15,0,129,48.7403,0.507712,82.7519,11.8217,0.770833
106,16,0,129,49.1512,0.511991,82.8876,11.8411,0.729167
106,17,0,129,48.4419,0.504603,81.3773,11.6253,0.739583
106,18,0,129,47.8372,0.498304,72.4012,10.343,0.75
106,19,0,129,46.8295,0.487807,68.5891,9.79845,0.697917
106,20,0,129,47.0853,0.490472,69.896,9.98514,0.729167
106,21,0,129,47.2946,0.492652,72.6363,10.3766,0.729167
106,22,0,129,47.3101,0.492813,76.0052,10.8579,0.75
106,23,0,129,49.1318,0.511789,80.7125,11.5304,0.770833
106,0,1,52,48.6923,0.507212,94.1971,13.4567,0.697917
106,1,1,52,50.4038,0.52504,97.1811,13.883,0.75
106,2,1,52,49.6154,0.516827,98.3702,14.0529,0.604167
106,3,1,52,50.4712,0.525741,96.0817,13.726,0.739583
106,4,1,52,49.7692,0.518429,95.3301,13.6186,0.739583
106,5,1,52,50.7885,0.529046,94.9936,13.5705,0.729167
106,6,1,52,51.4038,0.535457,94.5673,13.5096,0.739583
106,7,1,52,50.5769,0.526843,93.367,13.3381,0.770833
106,8,1,52,49.9808,0.520633,89.9679,12.8526,0.729167
106,9,1,52,49.4615,0.515224,90.0689,12.867,0.739583
106,10,1,52,48.6923,0.507212,86.1875,12.3125,0.760417
106,11,1,52,48.9615,0.510016,87.0401,12.4343,0.729167
106,12,1,52,49.2692,0.513221,85.0881,12.1554,0.739583
106,13,1,52,50.3077,0.524038,82.4519,11.7788,0.760417
106,14,1,52,49.25,0.513021,79.7933,11.399,0.729167
106,15,1,52,48.7692,0.508013,77.9647,11.1378,0.739583
106,16,1,52,48.6538,0.506811,78.3574,11.1939,0.729167
106,17,1,52,47.6346,0.496194,77.5497,11.0785,0.729167
106,18,1,52,48.6731,0.507011,77.6843,11.0978,0.729167
106,19,1,52,48.4423,0.504607,78.9744,11.2821,0.729167
106,20,1,52,47.5192,0.494992,81.1282,11.5897,0.708333
106,21,1,52,48.2115,0.502204,83.5176,11.9311,0.75
106,22,1,52,48.2019,0.502103,87.0064,12.4295,0.739583
106,23,1,52,50.5577,0.526643,87.9936,12.5705,0.739583
107,0,0,129,18.031,0.204898,81.6282,11.4748,0.295455
107,1,0,129,18.7597,0.213178,82.9147,11.761,0.295455
107,2,0,129,18.9612,0.215469,83.9703,11.9205,0.295455
107,3,0,129,18.7984,0.213619,82.3424,11.7907,0.295455
107,4,0,129,18.845,0.214147,82.1292,11.7681,0.295455
107,5,0,129,18.8062,0.213707,82.0636,11.7565,0.295455
107,6,0,129,18.7364,0.212914,81.8672,11.7248,0.306818
107,7,0,129,18.4496,0.209655,75.2516,10.7726,0.295455
107,8,0,129,16.5814,0.188425,66.8618,9.46059,0.284091
107,9,0,129,16.5659,0.188249,68.0417,9.56137,0.272727
107,10,0,129,16.5426,0.187984,66.0652,9.2584,0.272727
107,11,0,129,16.155,0.18358,62.0875,8.63049,0.261364
107,12,0,129,15.4729,0.175828,58.9635,8.22545,0.261364
107,13,0,129,15.2791,0.173626,56.719,7.94315,0.25
107,14,0,129,14.7829,0.167988,53.5494,7.5562,0.238636
107,15,0,129,14.2403,0.161822,51.9096,7.27196,0.238636
107,16,0,129,14.2054,0.161425,53.2584,7.47997,0.238636
107,17,0,129,14.5775,0.165654,54.9163,7.77196,0.25
107,18,0,129,15.1163,0.171776,58.501,8.31202,0.25
107,19,0,129,15.5194,0.176357,63.0484,8.95736,0.272727
107,20,0,129,16.4729,0.187192,69.9202,9.89535,0.295455
107,21,0,129,17.3256,0.196882,74.0953,10.5381,0.306818
107,22,0,129,17.6434,0.200493,76.9574,10.9509,0.306818
107,23,0,129,18.1473,0.206219,78.469,11.2242,0.295455
107,0,1,52,19.5385,0.222028,90.1378,12.8269,0.284091
107,1,1,52,20.0577,0.227928,91.4335,13.008,0.306818
107,2,1,52,19.8846,0.225962,90.7444,12.9824,0.295455
107,3,1,52,20.3462,0.231206,91.6587,13.1154,0.295455
107,4,1,52,20.1154,0.228584,91.653,13.1138,0.295455
107,5,1,52,20.0962,0.228365,91.109,13.0369,0.295455
107,6,1,52,20.0192,0.227491,90.4359,12.9423,0.295455
107,7,1,52,19.8462,0.225524,87.222,12.4792,0.284091
107,8,1,52,19.1538,0.217657,83.7724,11.9375,0.284091
107,9,1,52,18.75,0.213068,81.0721,11.2788,0.284091
107,10,1,52,17.75,0.201705,76.2917,10.2708,0.284091
107,11,1,52,17.1923,0.195367,72.3341,9.54968,0.284091
107,12,1,52,16.3462,0.185752,67.5561,9.08494,0.295455
107,13,1,52,16.3077,0.185315,67.6771,9.14583,0.295455
107,14,1,52,15.9231,0.180944,63.1482,8.86378,0.295455
107,15,1,52,15.8654,0.180288,62.3317,8.87981,0.284091
107,16,1,52,16.0962,0.182911,63.5312,8.98878,0.284091
107,17,1,52,15.9423,0.181163,65.8638,9.16346,0.284091
107,18,1,52,16.3654,0.18597,67.6635,9.53526,0.284091
107,19,1,52,16.8269,0.191215,71.992,10.1058,0.284091
107,20,1,52,17.6731,0.20083,77.8381,10.6651,0.284091
107,21,1,52,18.0385,0.204983,84.1402,11.3542,0.284091
107,22,1,52,18.6635,0.212085,87.5337,11.7628,0.284091
107,23,1,52,19,0.215909,85.2444,11.8141,0.284091
108,0,0,129,13.3023,0.403101,70.5155,10.9354,1
108,1,0,129,13.2713,0.402161,71.2322,11.0368,0.606061
108,2,0,129,13.3178,0.403571,71.7952,11.1189,0.606061
108,3,0,129,13.3488,0.40451,71.1961,11.0317,0.606061
108,4,0,129,13.4109,0.406389,71.1802,11.0362,0.606061
108,5,0,129,13.3178,0.403571,70.5494,10.938,0.606061
108,6,0,129,13.1395,0.398168,68.0691,10.5756,0.575758
108,7,0,129,12.2946,0.372563,59.0614,9.06331,0.575758
108,8,0,129,9.72868,0.294809,43.7658,6.61111,0.575758
108,9,0,129,8.62791,0.261452,40.553,6.08075,0.575758
108,10,0,129,8.45736,0.256284,39.3637,5.91925,1
108,11,0,129,8.18605,0.248062,38.9567,5.86886,0.575758
108,12,0,129,8.09302,0.245243,40.1844,6.06848,0.575758
108,13,0,129,8.70543,0.263801,40.9713,6.20349,1
108,14,0,129,8.42636,0.255344,40.3721,6.11886,0.575758
108,15,0,129,8.3876,0.25417,39.2574,5.96447,0.575758
108,16,0,129,8.45736,0.256284,39.8136,6.073,0.727273
108,17,0,129,8.62791,0.261452,41.6315,6.34625,0.727273
108,18,0,129,8.92248,0.270378,47.1392,7.18669,0.575758
108,19,0,129,10.6357,0.322293,59.0139,9.00711,0.575758
108,20,0,129,12.0853,0.36622,65.6544,10.1182,0.606061
108,21,0,129,12.8915,0.390651,69.3624,10.759,0.575758
108,22,0,129,13.2481,0.401456,71.3453,11.0801,0.636364
108,23,0,129,13.5891,0.411792,72.6883,11.2875,0.606061
108,0,1,52,13.8846,0.420746,75.222,11.6314,0.636364
108,1,1,52,14.1154,0.427739,76.2316,11.766,0.636364
108,2,1,52,14.1538,0.428904,76.0409,11.7244,0.636364
108,3,1,52,14.1154,0.427739,76.2764,11.7612,0.636364
108,4,1,52,14.2885,0.432984,76.2091,11.7612,0.636364
108,5,1,52,14.3462,0.434732,76.5625,11.8125,0.636364
108,6,1,52,13.9615,0.423077,73.4607,11.3526,0.636364
108,7,1,52,13.3269,0.403846,68.7941,10.6346,0.636364
108,8,1,52,12.3654,0.374709,63.0393,9.57853,0.575758
108,9,1,52,11.6154,0.351981,59.1803,8.83814,0.515152
108,10,1,52,10.9423,0.331585,55.3269,8.22276,0.545455
108,11,1,52,10.5,0.318182,53.9022,7.97276,0.545455
108,12,1,52,10.3269,0.312937,53.8854,7.95673,0.515152
108,13,1,52,10.4423,0.316434,53.3638,7.88141,0.484848
108,14,1,52,10.0192,0.303613,51.7372,7.66346,0.424242
108,15,1,52,10.1538,0.307692,50.8341,7.57051,0.424242
108,16,1,52,9.98077,0.302448,51.4231,7.69712,0.454545
108,17,1,52,10.0385,0.304196,52.6627,7.92949,0.454545
108,18,1,52,10.4423,0.316434,55.1362,8.34615,0.515152
108,19,1,52,11.25,0.340909,59.0345,8.99519,0.484848
108,20,1,52,11.5962,0.351399,61.4351,9.38942,0.515152
108,21,1,52,11.7885,0.357226,62.2877,9.54167,0.515152
108,22,1,52,12.5385,0.379953,63.8301,9.80288,1
108,23,1,52,12.3846,0.375291,64.6883,9.96474,0.606061
109,0,0,129,8.95736,0.229676,41.1182,5.87403,0.384615
109,1,0,129,9.05426,0.232161,41.584,5.94057,0.384615
109,2,0,129,9.09302,0.233154,41.7875,5.96964,0.384615
109,3,0,129,9.17054,0.235142,41.4167,5.91667,0.384615
109,4,0,129,9.17054,0.235142,41.6609,5.95155,0.384615
109,5,0,129,9.18605,0.23554,42.0136,6.00194,0.384615
109,6,0,129,9.2093,0.236136,42.1809,6.02584,0.384615
109,7,0,129,8.89147,0.227986,38.7442,5.53488,0.384615
109,8,0,129,8.33333,0.213675,35.3934,5.0562,0.384615
109,9,0,129,8.17829,0.2097,33.0601,4.72287,0.384615
109,10,0,129,7.58527,0.194494,29.4877,4.21253,0.358974
109,11,0,129,7.27132,0.186444,28.9451,4.13501,0.384615
109,12,0,129,7.51938,0.192805,30.8217,4.4031,0.384615
109,13,0,129,7.58527,0.194494,31.0161,4.43088,0.384615
109,14,0,129,7.46512,0.191413,30.885,4.41214,0.384615
109,15,0,129,7.39535,0.189624,30.0801,4.29716,0.384615
109,16,0,129,7.44186,0.190817,30.0439,4.29199,0.461538
109,17,0,129,7.75194,0.198768,32.2326,4.60465,0.461538
109,18,0,129,7.89147,0.202345,35.8863,5.12661,0.358974
109,19,0,129,8.54264,0.219042,39.1466,5.59238,0.384615
109,20,0,129,8.93023,0.22898,40.8062,5.82946,0.384615
109,21,0,129,8.89922,0.228185,40.8514,5.83592,0.384615
109,22,0,129,8.93023,0.22898,41.8282,5.97545,0.384615
109,23,0,129,9.23256,0.236732,42.9134,6.13049,0.384615
109,0,1,52,9.42308,0.241617,43.1218,6.16026,0.358974
109,1,1,52,9.48077,0.243097,43.0881,6.15545,0.358974
109,2,1,52,9.44231,0.24211,42.9199,6.13141,0.358974
109,3,1,52,9.5,0.24359,43.2003,6.17147,0.358974
109,4,1,52,9.46154,0.242604,43.4247,6.20353,0.358974
109,5,1,52,9.40385,0.241124,43.2452,6.17788,0.358974
109,6,1,52,9.38462,0.240631,42.9535,6.13622,0.358974
109,7,1,52,9.36538,0.240138,41.7869,5.96955,0.358974
109,8,1,52,9.13462,0.234221,40.4856,5.78365,0.358974
109,9,1,52,8.88462,0.227811,38.3878,5.48397,0.358974
109,10,1,52,8.48077,0.217456,35.774,5.11058,0.333333
109,11,1,52,8.19231,0.210059,34.2035,4.88622,0.333333
109,12,1,52,8.15385,0.209073,34.9103,4.98718,0.333333
109,13,1,52,8.40385,0.215483,35.2692,5.03846,0.358974
109,14,1,52,8.15385,0.209073,35.5385,5.07692,0.358974
109,15,1,52,8.28846,0.212525,35.3702,5.05288,0.358974
109,16,1,52,8.11538,0.208087,34.9663,4.99519,0.358974
109,17,1,52,8.19231,0.210059,35.875,5.125,0.358974
109,18,1,52,8.40385,0.215483,36.6042,5.22917,0.358974
109,19,1,52,8.5,0.217949,36.1667,5.16667,0.384615
109,20,1,52,8.59615,0.220414,36.8397,5.26282,0.410256
109,21,1,52,8.55769,0.219428,37.0304,5.29006,0.384615
109,22,1,52,8.59615,0.220414,37.1651,5.30929,0.358974
109,23,1,52,8.67308,0.222387,37.0192,5.28846,0.333333
110,0,0,129,10.0116,0.145096,34.0413,4.51421,0.231884
110,1,0,129,10.7907,0.156387,36.1712,4.7823,0.289855
110,2,0,129,10.7752,0.156162,36.4063,4.8301,0.26087
110,3,0,129,10.7829,0.156275,35.7959,4.76744,0.26087
110,4,0,129,10.8605,0.157398,35.7687,4.75129,0.26087
110,5,0,129,10.7054,0.155151,35.4839,4.70672,0.26087
110,6,0,129,10.5504,0.152904,34.3307,4.56589,0.26087
110,7,0,129,10.3566,0.150095,31.5362,4.17636,0.26087
110,8,0,129,10.1395,0.14695,32.9583,4.40633,0.275362
110,9,0,129,10.5426,0.152792,33.978,4.4832,0.463768
110,10,0,129,10.655,0.154421,35.7823,4.67636,0.304348
110,11,0,129,10.6202,0.153915,35.0158,4.6376,0.304348
110,12,0,129,10.7713,0.156106,34.7038,4.62726,0.304348
110,13,0,129,10.9729,0.159027,35.5291,4.71253,0.26087
110,14,0,129,10.5271,0.152567,33.8288,4.52842,0.26087
110,15,0,129,10.5271,0.152567,33.2387,4.4354,0.26087
110,16,0,129,10.4457,0.151387,31.7939,4.27584,0.26087
110,17,0,129,10.1938,0.147736,30.053,4.01292,0.26087
110,18,0,129,10.0853,0.146163,28.7913,3.80103,0.318841
110,19,0,129,9.79845,0.142007,29.2413,3.86305,0.275362
110,20,0,129,9.89147,0.143355,29.1463,3.79845,0.246377
110,21,0,129,9.7907,0.141894,29.499,3.79845,0.246377
110,22,0,129,9.81395,0.142231,29.5013,3.84755,0.289855
110,23,0,129,9.92248,0.143804,29.906,3.90052,0.26087
110,0,1,52,10.4615,0.151616,35.3646,4.70673,0.26087
110,1,1,52,11.0192,0.159699,37.0024,4.99359,0.289855
110,2,1,52,11.2885,0.163601,37.4679,5.07532,0.275362
110,3,1,52,11.3077,0.16388,38.141,5.13301,0.275362
110,4,1,52,11.2115,0.162486,37.6867,5.07692,0.275362
110,5,1,52,11.0769,0.160535,37.5016,5.03846,0.275362
110,6,1,52,11.1731,0.161929,37.2043,4.98558,0.275362
110,7,1,52,11.1154,0.161093,35.6899,4.77724,0.275362
110,8,1,52,10.6731,0.154682,33.9175,4.5609,0.275362
110,9,1,52,10.4615,0.151616,31.2476,4.20032,0.275362
110,10,1,52,10.3269,0.149666,30.8494,4.16186,0.26087
110,11,1,52,10.2692,0.148829,32.1955,4.30769,0.26087
110,12,1,52,10.5962,0.153567,33.3061,4.4391,0.246377
110,13,1,52,10.6346,0.154125,33.5753,4.42147,0.246377
110,14,1,52,10.5962,0.153567,33.8109,4.39423,0.246377
110,15,1,52,10.6154,0.153846,32.5713,4.24519,0.26087
110,16,1,52,10.2308,0.148272,32.7732,4.21314,0.26087
110,17,1,52,10.4038,0.15078,32.4591,4.15064,0.289855
110,18,1,52,10.5192,0.152453,33.0312,4.20673,0.289855
110,19,1,52,10.5,0.152174,32.3638,4.20513,0.246377
110,20,1,52,10.5192,0.152453,34.6747,4.47276,0.275362
110,21,1,52,10.5192,0.152453,35.1627,4.52724,0.26087
110,22,1,52,10.5,0.152174,33.7155,4.45192,0.26087
110,23,1,52,10.6538,0.154404,33.2332,4.41346,0.26087
111,0,0,129,18.5736,0.218513,57.5262,11.582,0.294118
111,1,0,129,18.6279,0.219152,57.6166,11.6098,0.294118
111,2,0,129,18.7287,0.220337,58.1457,11.7048,0.305882
111,3,0,129,18.7907,0.221067,58.0281,11.6848,0.294118
111,4,0,129,18.7907,0.221067,57.8585,11.646,0.294118
111,5,0,129,18.6589,0.219517,57.3272,11.509,0.294118
111,6,0,129,18.4651,0.217237,55.7852,11.0988,0.294118
111,7,0,129,17.3333,0.203922,49.4635,9.60917,0.282353
111,8,0,129,15.8915,0.186959,47.5439,8.81137,0.270588
111,9,0,129,16.2171,0.190789,50.2096,8.91537,0.305882
111,10,0,129,15.6628,0.184268,48.428,8.5814,0.305882
111,11,0,129,16.0698,0.189056,50.897,8.94509,0.341176
111,12,0,129,16.6705,0.196124,54.0352,9.51163,0.305882
111,13,0,129,16.8953,0.198769,54.3698,9.60271,0.294118
111,14,0,129,16.6589,0.195987,53.9606,9.57106,0.282353
111,15,0,129,16.4651,0.193707,52.2897,9.30426,0.282353
111,16,0,129,16.4767,0.193844,52.9318,9.48643,0.270588
111,17,0,129,16.6938,0.196398,53.3501,9.67119,0.294118
111,18,0,129,16.8372,0.198085,51.7584,9.80685,0.282353
111,19,0,129,17.2403,0.202827,52.5746,10.2468,0.294118
111,20,0,129,17.5194,0.20611,53.124,10.5103,0.294118
111,21,0,129,17.9612,0.211309,55.7716,11.0782,0.294118
111,22,0,129,18.4651,0.217237,57.6415,11.4987,0.294118
111,23,0,129,18.6124,0.218969,57.6957,11.5323,0.305882
111,0,1,52,19.25,0.226471,61.9006,12.1314,0.305882
111,1,1,52,19.2308,0.226244,62.3494,12.2115,0.317647
111,2,1,52,19.2885,0.226923,62.0016,12.1939,0.317647
111,3,1,52,19.3462,0.227602,61.9062,12.1571,0.317647
111,4,1,52,19.25,0.226471,61.7548,12.1122,0.317647
111,5,1,52,19.1731,0.225566,61.4575,12.0481,0.317647
111,6,1,52,19.25,0.226471,60.4199,11.8349,0.317647
111,7,1,52,18.6346,0.219231,57.2901,11.1394,0.294118
111,8,1,52,17.8846,0.210407,54.5585,10.5801,0.294118
111,9,1,52,17.6346,0.207466,54.1154,10.2548,0.294118
111,10,1,52,17.2692,0.203167,53.7284,10.0401,0.294118
111,11,1,52,17.4423,0.205204,54.895,10.1026,0.317647
111,12,1,52,17.7692,0.20905,58.5184,10.8205,0.329412
111,13,1,52,18.5385,0.2181,59.9992,11.0721,0.341176
111,14,1,52,18.4231,0.216742,59.3093,10.8846,0.352941
