zone_id,mean_utilisation,p95_utilisation,max_utilisation,share_at_ceiling,share_above_90,capacity_points
700,0.275403,0.363636,0.59596,0,0,99
701,0.34045,0.5,1,0.00184162,0.00184162,12
703,0.344044,0.472103,0.660944,0,0,233
704,0.36045,0.503546,1,0.000690608,0.000690608,141
705,0.215908,0.326923,0.5,0,0,52
706,0.325645,0.5,0.9,0,0,30
708,0.315771,0.709677,1,0.000690608,0.000690608,31
709,0.256735,0.357143,0.660714,0,0,56
710,0.17088,0.240964,0.349398,0,0,83
711,0.136676,0.235294,0.352941,0,0,34
712,0.210292,0.34,0.62,0,0,50
715,0.59047,0.875,1,0.0260129,0.0453499,16
716,0.306655,0.481481,1,0.00092081,0.00092081,135
718,0.100652,0.2,0.333333,0,0,15
719,0.517802,1,1,0.0566298,0.0566298,6
724,0.248339,0.316667,0.5,0,0,180
728,0.158866,0.318182,0.5,0,0,22
729,0.285484,0.461538,0.717949,0,0,39
731,0.175466,0.3,0.516667,0,0,60
732,0.147844,0.266667,0.466667,0,0,15
733,0.404477,0.676923,1,0.00092081,0.00092081,130
737,0.127193,0.222222,0.416667,0,0,36
741,0.210526,0.342105,0.5,0,0,38
744,0.400339,0.535211,0.915493,0,0.000230203,71
745,0.36313,0.625,1,0.00115101,0.00115101,16
746,0.354946,0.513043,1,0.00115101,0.00115101,115
751,0.252275,0.444444,0.847222,0,0,72
771,0.472021,0.833333,1,0.00253223,0.0179558,24
773,0.328983,0.55,1,0.00115101,0.00115101,40
775,0.512245,0.923077,1,0.0092081,0.0584715,26
777,0.23607,0.570248,0.68595,0,0,121
781,0.287378,0.457143,0.714286,0,0,35
783,0.215283,0.333333,0.458333,0,0,24
790,0.445442,0.6875,1,0.00115101,0.00115101,32
792,0.417012,0.666667,1,0.0092081,0.0092081,6
795,0.415755,0.588235,1,0.000460405,0.00092081,102
799,0.306913,0.481928,1,0.00115101,0.00115101,83
802,0.303395,0.5,1,0.00115101,0.00115101,58
804,0.134752,0.212766,0.297872,0,0,47
805,0.325372,0.916667,1,0.0326888,0.0964549,12
809,0.490375,0.735294,1,0.00115101,0.00115101,68
832,0.44933,0.722222,1,0.00115101,0.00115101,36
842,0.360756,0.588889,1,0.000460405,0.00092081,90
844,0.330498,0.787879,1,0.00276243,0.021639,66
848,0.353495,0.75,1,0.00138122,0.00805709,12
849,0.254663,0.445946,1,0.000690608,0.000690608,74
851,0.462046,0.732394,1,0.00092081,0.00092081,142
852,0.299422,0.625,0.875,0,0,8
855,0.281363,0.408602,0.543011,0,0,186
858,0.387564,0.644928,1,0.000460405,0.00092081,138
862,0.168214,0.305556,0.666667,0,0,36
881,0.457486,1,1,0.0847145,0.085175,88
882,0.752778,1,1,0.134438,0.159991,15
883,0.338436,0.583333,1,0.00115101,0.00115101,12
887,0.271415,0.5,1,0.00253223,0.00253223,36
888,0.386165,0.585714,1,0.00092081,0.00161142,140
890,0.551335,1,1,0.468462,0.468462,18
891,0.286244,0.462963,0.518519,0,0,54
893,0.0922537,0.222222,0.333333,0,0,18
895,0.21569,0.533333,1,0.00391344,0.00391344,45
897,0.217183,0.457143,0.657143,0,0,35
900,0.316682,0.583333,1,0.00161142,0.00161142,12
901,0.0961908,0.294118,0.352941,0,0,17
902,0.104078,0.185714,0.342857,0,0,70
903,0.222242,0.385965,1,0.00115101,0.00115101,57
904,0.21664,0.37037,0.796296,0,0,54
937,0.180233,0.545455,0.772727,0,0,22
943,0.418136,0.761905,1,0.00115101,0.00345304,21
958,0.266636,0.466667,0.777778,0,0,45
965,0.391687,0.596899,1,0.000690608,0.000690608,129
966,0.27779,0.416216,1,0.000690608,0.00092081,185
967,0.277792,0.458333,0.708333,0,0,24
969,0.23497,0.36,0.76,0,0,50
972,0.371924,0.533333,1,0.00115101,0.00115101,75
974,0.405585,0.552846,1,0.000690608,0.00138122,123
975,0.243554,0.5,1,0.00115101,0.00115101,18
977,0.149858,0.275862,0.62069,0,0,29
979,0.179623,0.375,0.5625,0,0,16
981,0.4125,0.612245,1,0.00092081,0.00092081,49
982,0.356788,0.555556,1,0.00115101,0.00115101,18
983,0.303285,0.588235,1,0.00115101,0.00115101,17
984,0.16594,0.3125,0.75,0,0,16
986,0.39909,0.6228,1,0.00115101,0.00115101,125
987,0.271071,0.666667,1,0.00184162,0.00230203,45
988,0.157892,0.309091,0.709091,0,0,55
989,0.192874,0.310606,0.439394,0,0,132
991,0.375596,0.529412,1,0.00115101,0.00115101,17
996,0.406377,0.613445,1,0.00092081,0.00115101,119
998,0.191037,0.279661,0.516949,0,0,118
1000,0.252134,0.365979,0.747423,0,0,194
1009,0.248605,0.347826,0.512077,0,0,207
1011,0.247159,0.322289,0.509036,0,0,332
1015,0.179753,0.291667,0.427083,0,0,96
1026,0.373182,0.738312,1,0.00092081,0.00184162,77
1029,0.820877,0.972222,1,0.0237109,0.236188,36
1031,0.269996,0.364238,0.596026,0,0,151
1043,0.291902,0.426471,0.823529,0,0,68
1049,0.37336,0.58,1,0.000690608,0.000690608,200
1060,0.0596081,0.125,0.225,0,0,40
1061,0.170524,0.242424,0.414141,0,0,99
1062,0.161574,0.292647,0.539216,0,0,102
1066,0.190311,0.325,0.725,0,0,40
1067,0.336251,0.469388,0.612245,0,0,49
1068,0.282773,0.361233,0.54185,0,0,227
1071,0.39231,0.569444,1,0.00207182,0.00253223,72
1072,0.211852,0.41791,0.731343,0,0,67
1074,0.180113,0.290323,0.5,0,0,62
1075,0.320514,0.625,1,0.00115101,0.00115101,16
1076,0.155041,0.261905,0.428571,0,0,42
1081,0.179612,0.276596,0.446809,0,0,47
1082,0.252061,0.428571,0.714286,0,0,21
1083,0.334803,0.522727,1,0.000460405,0.000460405,44
1085,0.280162,0.40678,0.627119,0,0,59
1087,0.184585,0.271429,0.371429,0,0,70
1088,0.172086,0.304348,0.623188,0,0,69
1090,0.174202,0.294118,0.676471,0,0,34
1092,0.122899,0.208333,0.375,0,0,24
1094,0.278494,0.5,1,0.00184162,0.00184162,18
1095,0.248682,0.413793,0.827586,0,0,29
1096,0.135953,0.214286,0.3,0,0,70
1098,0.430744,0.65,1,0.00092081,0.00092081,60
1099,0.229499,0.5,1,0.00115101,0.00115101,18
1100,0.244297,0.347826,0.550725,0,0,69
1102,0.171705,0.240385,0.365385,0,0,104
1104,0.119369,0.222222,0.296296,0,0,27
1106,0.165584,0.272727,0.590909,0,0,22
1107,0.121873,0.25,0.5,0,0,12
1109,0.086922,0.142857,0.214286,0,0,56
1110,0.20961,0.363636,1,0.00115101,0.00115101,33
1111,0.233457,0.355932,0.440678,0,0,59
1112,0.185889,0.388889,0.722222,0,0,18
1113,0.106155,0.181818,0.236364,0,0,55
1114,0.0578908,0.111111,0.333333,0,0,45
1115,0.235659,0.33871,0.596774,0,0,62
1119,0.176614,0.300269,0.408602,0,0,93
1120,0.173826,0.285714,0.637363,0,0,91
1121,0.292342,0.405405,0.540541,0,0,37
1124,0.45702,0.672131,1,0.00092081,0.00092081,61
1125,0.157574,0.4,1,0.00230203,0.00230203,10
1126,0.266263,0.416667,0.75,0,0,24
1130,0.10281,0.214286,0.285714,0,0,14
1134,0.132886,0.221552,0.37931,0,0,58
1135,0.150737,0.208333,0.291667,0,0,48
1137,0.290288,0.376923,0.576923,0,0,130
1138,0.115483,0.25,0.6875,0,0,16
1143,0.12577,0.269231,0.461538,0,0,26
1144,0.196535,0.323529,0.485294,0,0,68
1149,0.296971,0.4375,0.583333,0,0,48
1154,0.155151,0.272727,0.454545,0,0,22
1156,0.229236,0.366667,0.5,0,0,30
1159,0.25038,0.333333,0.508772,0,0,114
1162,0.257994,0.454545,1,0.000690608,0.000690608,22
1163,0.115958,0.277778,0.388889,0,0,18
1164,0.369841,0.5,0.556818,0,0,88
1166,0.286324,0.402439,0.646341,0,0,82
1167,0.368109,0.520107,1,0.000460405,0.00115101,373
1168,0.191595,0.325581,0.651163,0,0,43
1172,0.34799,0.666667,1,0.00115101,0.00115101,9
1173,0.242761,0.368421,0.5,0,0,38
