zone_id,total_volume,mean_hourly_volume,volume_decile
1068,1.32101e+06,304.099,9
1071,656312,151.085,8
1072,220245,50.7009,5
1074,296527,68.2613,6
1075,151567,34.8911,4
1076,176611,40.6563,4
1081,212108,48.8277,5
1082,76479.7,17.6058,3
1083,428215,98.5761,7
1085,297036,68.3784,6
1087,266427,61.3322,6
1088,166431,38.3129,4
1090,119278,27.4581,4
1092,44593.2,10.2655,1
1094,150256,34.5892,4
1095,185703,42.7493,5
1096,234170,53.9066,5
1098,3.56022e+06,819.572,10
1099,107065,24.6466,3
1100,457866,105.402,7
1102,422242,97.2013,7
1104,68528.2,15.7754,2
1106,64487.2,14.8451,2
1107,30306.8,6.9767,1
1109,104115,23.9676,3
1110,88094.4,20.2796,3
1111,345466,79.5272,7
1112,74572.8,17.1668,2
1113,100014,23.0234,3
1114,75644.5,17.4135,3
1115,334317,76.9607,6
1119,419521,96.5748,7
1120,229783,52.8967,5
1121,290734,66.9278,6
1124,4.16745e+06,959.357,10
1125,23023,5.29995,1
1126,125323,28.8498,4
1130,10424.2,2.39967,1
1134,139020,32.0028,4
1135,59204.8,13.6291,2
1137,835935,192.434,8
1138,30363.7,6.98979,1
1143,68824.6,15.8436,2
1144,252306,58.0815,6
1149,337666,77.7317,7
1154,63044.9,14.5131,2
1156,117807,27.1195,3
1159,505421,116.349,7
1162,141653,32.6089,4
1163,56193.1,12.9358,2
1164,692339,159.378,8
1166,509208,117.221,7
1167,2.17618e+07,5009.61,10
1168,297378,68.4571,6
1172,38110,8.77303,1
1173,207514,47.7702,5
