n,mae,rmse,bias,mape,mape_coverage,mase,mase_coverage,sat_wmae,cell_key,target,horizon,fold,family,n_fits,chosen,n_train_hours
92400,1.55494,2.97888,0.122587,14.7522,0.979665,0.414768,1,1.6869,2cb3a20104ea80d4,occupancy,1,4,zone_ridge,1650,median_alpha=10.0,3000
92400,1.54955,3.06935,0.20315,14.762,0.979665,0.413526,1,1.69972,0a18f282a3008540,occupancy,1,4,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,3000
92400,1.71667,3.29139,-0.000626838,17.0967,0.979665,0.478868,1,1.8683,4919a73aef37fdcb,occupancy,1,4,global_ridge,6,alpha=1000.0,3000
92400,1.44783,2.88441,0.117226,13.5723,0.979665,0.38902,1,1.58367,1726ce4c4ce6d25a,occupancy,1,4,global_gbm,1,max_iter=100;learning_rate=0.1;max_leaf_nodes=31,3000
92400,1.00735,2.6483,-0.00628788,8.92726,0.968452,0.253606,1,1.08431,93e3bb3693057020,occupancy,1,5,last_observation,0,,3336
92400,2.45761,4.31654,-0.131991,25.2476,0.968452,0.691519,1,2.57723,15b14976d71925fb,occupancy,1,5,seasonal_naive_daily,0,,3336
92400,4.917,8.30944,0.290455,46.2208,0.968452,1.29249,1,5.26664,4280cbfdf8e435c4,occupancy,1,5,seasonal_naive_weekly,0,,3336
92400,1.16114,2.31178,0.155013,12.1616,0.968452,0.31219,1,1.22753,dbdda0079d5afaba,occupancy,1,5,autoregressive,275,order=24,3336
92400,1.45984,2.98526,0.267431,14.5958,0.968452,0.374259,1,1.58107,a9cb575c1628e525,occupancy,1,5,zone_ridge,1650,median_alpha=10.0,3336
92400,1.50829,2.8577,0.388214,16.4543,0.968452,0.400094,1,1.57724,07934a82d099c660,occupancy,1,5,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,3336
92400,1.4211,2.5517,0.0881096,16.1245,0.968452,0.418159,1,1.50771,7418a3fa6b8f13eb,occupancy,1,5,global_ridge,6,alpha=100.0,3336
92400,1.14198,2.27659,-0.00235884,11.1762,0.968452,0.311981,1,1.22441,7ca8132bb99575ee,occupancy,1,5,global_gbm,1,max_iter=100;learning_rate=0.1;max_leaf_nodes=31,3336
92400,1.3208,3.26589,0.00116883,10.7006,0.933961,0.326344,1,1.4563,21e6fbcf0a8c3af3,occupancy,1,6,last_observation,0,,3672
92400,3.20093,6.14016,0.0343723,32.2575,0.933961,0.917105,1,3.3811,2399b45900b4d96f,occupancy,1,6,seasonal_naive_daily,0,,3672
92400,5.20102,9.09677,-0.460887,54.526,0.933961,1.53278,1,5.47552,c662988f7ab27c97,occupancy,1,6,seasonal_naive_weekly,0,,3672
92400,1.40516,2.89689,0.0981042,13.7339,0.933961,0.378991,1,1.50506,6dc8d31e4dce42b6,occupancy,1,6,autoregressive,275,order=24,3672
92400,1.55979,3.14509,0.0131002,14.8613,0.933961,0.416956,1,1.67191,ea42d480587de1e0,occupancy,1,6,zone_ridge,1650,median_alpha=10.0,3672
92400,1.56545,3.41572,0.275406,16.2159,0.933961,0.435784,1,1.61973,5caca0e4f290f2e9,occupancy,1,6,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,3672
92400,1.61568,2.94399,-0.0946651,16.9465,0.933961,0.470494,1,1.74004,cec87e155589405c,occupancy,1,6,global_ridge,6,alpha=0.1,3672
92400,1.3113,2.52382,0.160492,13.2897,0.933961,0.372492,1,1.39721,ba75de3f6c26a6a6,occupancy,1,6,global_gbm,1,max_iter=100;learning_rate=0.1;max_leaf_nodes=31,3672
92400,1.28883,3.23135,-0.00454545,8.69482,0.981126,0.312896,1,1.40678,c8689427212e4528,occupancy,1,7,last_observation,0,,4008
92400,2.64623,4.71751,-0.0737987,22.8288,0.981126,0.752858,1,2.78976,a71618a13de12afb,occupancy,1,7,seasonal_naive_daily,0,,4008
92400,3.61018,5.81046,-0.600628,37.95,0.981126,1.12646,1,3.84225,f2aa5b790a6e4ceb,occupancy,1,7,seasonal_naive_weekly,0,,4008
92400,1.23035,2.43386,-0.058375,10.0092,0.981126,0.329692,1,1.33162,141ff50f2b3d812d,occupancy,1,7,autoregressive,275,order=24,4008
92400,1.27245,2.4426,-0.132557,10.7223,0.981126,0.342935,1,1.37803,de4e5e95d455a1a0,occupancy,1,7,zone_ridge,1650,median_alpha=1.0,4008
92400,1.22979,2.66047,-0.0811282,10.4498,0.981126,0.337571,1,1.34507,f0f584bff9739b3e,occupancy,1,7,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,4008
92400,1.38669,2.53257,-0.144512,13.1476,0.981126,0.411805,1,1.49014,ddc3549420dc177a,occupancy,1,7,global_ridge,6,alpha=1.0,4008
92400,1.14051,2.2189,0.00325185,9.72108,0.981126,0.318843,1,1.22869,5888b98e4a603591,occupancy,1,7,global_gbm,1,max_iter=100;learning_rate=0.1;max_leaf_nodes=31,4008
92400,5.62808,10.9444,-0.00186688,42.389,0.983452,1.26752,1,6.2019,8a1e406f896835ef,occupancy,6,0,last_observation,0,,1656
92400,3.54498,6.44286,-0.0323593,33.0718,0.983452,0.970461,1,3.8342,89175096c4de7f55,occupancy,6,0,seasonal_naive_daily,0,,1656
92400,4.08423,7.807,-0.692451,36.6606,0.983452,1.11335,1,4.48433,774e3d016ac38e32,occupancy,6,0,seasonal_naive_weekly,0,,1656
92400,2.96825,5.16153,-0.0498749,27.7593,0.983452,0.79084,1,3.25585,d98440e7e38e8ebd,occupancy,6,0,autoregressive,275,order=24,1656
92400,3.33762,5.79707,-0.137831,29.3733,0.983452,0.852206,1,3.69298,04f145ade8191c53,occupancy,6,0,zone_ridge,1650,median_alpha=1000.0,1656
92400,3.10637,5.39863,-0.550795,28.7261,0.983452,0.850447,1,3.46805,645fe1331eb9e8a2,occupancy,6,0,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,1656
92400,4.29167,7.22782,-0.218782,41.9745,0.983452,1.15369,1,4.70163,f44b5ef329a3a1ac,occupancy,6,0,global_ridge,6,alpha=1.0,1656
92400,3.17082,5.3537,-0.211439,30.9312,0.983452,0.849108,1,3.50494,4cf58d028393233c,occupancy,6,0,global_gbm,1,max_iter=200;learning_rate=0.05;max_leaf_nodes=63,1656
92400,5.4441,10.4914,-0.0119318,40.798,0.981634,1.22355,1,5.92059,d601f4318675fd9d,occupancy,6,1,last_observation,0,,1992
92400,3.42666,5.91528,-0.0237338,32.2072,0.981634,0.946386,1,3.64112,e00882abac790752,occupancy,6,1,seasonal_naive_daily,0,,1992
92400,3.54009,6.07405,0.0531926,34.0487,0.981634,1.00549,1,3.80539,9f6f582f9313888a,occupancy,6,1,seasonal_naive_weekly,0,,1992
92400,2.84075,4.72216,0.0870131,26.9274,0.981634,0.765063,1,3.03678,869f9b1d14da851f,occupancy,6,1,autoregressive,275,order=24,1992
92400,3.11063,5.13481,-0.12035,28.1805,0.981634,0.815704,1,3.37422,781c640f85929e6f,occupancy,6,1,zone_ridge,1650,median_alpha=100.0,1992
92400,2.89693,4.70665,0.0054505,28.1418,0.981634,0.809194,1,3.14461,068c7f33b2aa8b80,occupancy,6,1,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,1992
92400,4.22595,6.85321,-0.0592812,42.7984,0.981634,1.16037,1,4.53615,d8e609e181538545,occupancy,6,1,global_ridge,6,alpha=0.1,1992
92400,3.02265,4.79707,-0.471341,29.0113,0.981634,0.845198,1,3.32113,68e3d2c8a9df1eb8,occupancy,6,1,global_gbm,1,max_iter=200;learning_rate=0.05;max_leaf_nodes=63,1992
92400,5.51846,11.1365,0.0117803,39.6736,0.984145,1.24378,1,6.0598,d50780bb772d89c5,occupancy,6,2,last_observation,0,,2328
92400,3.68488,7.35033,0.00938853,32.0221,0.984145,0.995388,1,4.026,dd575d23c05e3b11,occupancy,6,2,seasonal_naive_daily,0,,2328
92400,4.01225,7.72505,-0.227662,35.0202,0.984145,1.12649,1,4.41204,254c223dd18248ae,occupancy,6,2,seasonal_naive_weekly,0,,2328
92400,3.11681,6.09022,-0.205115,26.686,0.984145,0.834306,1,3.48976,25c01710f9ad516f,occupancy,6,2,autoregressive,275,order=24,2328
92400,3.29502,6.22772,-0.664581,26.8715,0.984145,0.867004,1,3.72837,6e8b49934d7441ac,occupancy,6,2,zone_ridge,1650,median_alpha=100.0,2328
92400,2.97287,5.67476,-0.549617,26.1643,0.984145,0.862056,1,3.37701,7f8c721a28b5d61d,occupancy,6,2,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,2328
92400,4.40026,7.70884,-0.403675,41.0156,0.984145,1.20841,1,4.86175,f3421bc1e1127b84,occupancy,6,2,global_ridge,6,alpha=0.1,2328
92400,2.98019,5.60468,-0.0658332,28.3192,0.984145,0.825631,1,3.31094,19c5d0bcbe9a57f8,occupancy,6,2,global_gbm,1,max_iter=200;learning_rate=0.05;max_leaf_nodes=63,2328
92400,3.66302,7.36572,-0.0203193,29.2552,0.9725,0.856257,1,4.08854,3fcb55c8663269e5,occupancy,6,3,last_observation,0,,2664
92400,2.83362,4.98082,-0.0265963,28.2185,0.9725,0.786294,1,3.05571,7c1c19c78bc9b378,occupancy,6,3,seasonal_naive_daily,0,,2664
92400,3.98265,6.71058,0.295758,38.5037,0.9725,1.0717,1,4.28338,dc86f2789855b661,occupancy,6,3,seasonal_naive_weekly,0,,2664
92400,2.45941,4.25045,0.296067,24.4046,0.9725,0.653609,1,2.66629,7f5873e44a5eba45,occupancy,6,3,autoregressive,275,order=24,2664
92400,2.93609,5.01588,0.269777,27.0037,0.9725,0.740361,1,3.19879,c3fdc8e19e0fa1fc,occupancy,6,3,zone_ridge,1650,median_alpha=100.0,2664
92400,2.96702,5.07858,0.447682,29.9249,0.9725,0.789325,1,3.1868,6cb65fb7556e0cbf,occupancy,6,3,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,2664
92400,3.35881,5.36121,-0.104076,38.7746,0.9725,1.00819,1,3.65964,8a0e2d5036b01f0b,occupancy,6,3,global_ridge,6,alpha=10.0,2664
92400,2.52202,4.39081,0.202905,24.6962,0.9725,0.672447,1,2.77213,d7a51886c765ae8b,occupancy,6,3,global_gbm,1,max_iter=200;learning_rate=0.05;max_leaf_nodes=63,2664
92400,5.28013,10.0935,0.0523377,40.8971,0.979665,1.22979,1,5.7334,35b687b9152ed54a,occupancy,6,4,last_observation,0,,3000
92400,3.18781,5.40025,0.134881,31.3316,0.979665,0.910853,1,3.37538,f02920e161cfb4db,occupancy,6,4,seasonal_naive_daily,0,,3000
92400,3.84107,6.29388,0.194232,37.2823,0.979665,1.08022,1,4.07808,daa3344a66a129df,occupancy,6,4,seasonal_naive_weekly,0,,3000
92400,2.6864,4.41368,0.185628,27.0409,0.979665,0.747879,1,2.85768,bd3b97b69a8ccb7b,occupancy,6,4,autoregressive,275,order=24,3000
92400,2.99982,4.99558,0.122722,28.7967,0.979665,0.800077,1,3.21111,56e05bc53853386a,occupancy,6,4,zone_ridge,1650,median_alpha=1000.0,3000
92400,2.80236,4.6148,0.480204,28.3478,0.979665,0.779878,1,2.98157,50745db449b3d029,occupancy,6,4,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,3000
92400,3.89052,6.35411,-0.069389,40.0767,0.979665,1.09717,1,4.19134,3e6b507fc8fadd5f,occupancy,6,4,global_ridge,6,alpha=0.1,3000
92400,2.87567,4.69683,0.704953,31.0482,0.979665,0.80688,1,3.0204,aef85b933b83d9da,occupancy,6,4,global_gbm,1,max_iter=200;learning_rate=0.05;max_leaf_nodes=63,3000
92400,3.0689,6.31424,-0.0427814,25.6987,0.968452,0.732326,1,3.28627,47f9ab8553a8e044,occupancy,6,5,last_observation,0,,3336
92400,2.45761,4.31654,-0.131991,25.2476,0.968452,0.691519,1,2.57723,32198072fd5fec27,occupancy,6,5,seasonal_naive_daily,0,,3336
92400,4.917,8.30944,0.290455,46.2208,0.968452,1.29249,1,5.26664,702b39cab75096c1,occupancy,6,5,seasonal_naive_weekly,0,,3336
92400,2.33898,3.87674,0.728169,26.2752,0.968452,0.643227,1,2.39381,8108bfc84385fbb4,occupancy,6,5,autoregressive,275,order=24,3336
92400,3.11221,5.63348,0.70937,31.4261,0.968452,0.797394,1,3.28659,42df48be166e5635,occupancy,6,5,zone_ridge,1650,median_alpha=100.0,3336
92400,3.21875,5.31121,1.14803,35.1405,0.968452,0.879893,1,3.32805,474f22970c82faa9,occupancy,6,5,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,3336
92400,2.96605,4.58135,0.121783,37.5726,0.968452,0.945883,1,3.12525,970d6e82ed291281,occupancy,6,5,global_ridge,6,alpha=1.0,3336
92400,2.25211,3.79595,0.0982855,23.0661,0.968452,0.625719,1,2.40331,98e40bd0e1563e8c,occupancy,6,5,global_gbm,1,max_iter=200;learning_rate=0.05;max_leaf_nodes=63,3336
92400,4.64303,9.61575,0.0152814,36.3074,0.933961,1.07164,1,5.13017,547f96da41787468,occupancy,6,6,last_observation,0,,3672
92400,3.20093,6.14016,0.0343723,32.2575,0.933961,0.917105,1,3.3811,de47fcd2cdae02f2,occupancy,6,6,seasonal_naive_daily,0,,3672
92400,5.20102,9.09677,-0.460887,54.526,0.933961,1.53278,1,5.47552,49a03bc73873f4f1,occupancy,6,6,seasonal_naive_weekly,0,,3672
92400,2.69817,4.8919,0.324034,28.3308,0.933961,0.763811,1,2.82165,fb2129b149607bb2,occupancy,6,6,autoregressive,275,order=24,3672
92400,3.0971,5.39351,0.147777,31.6858,0.933961,0.857185,1,3.29413,f7e3ec13f73b5abd,occupancy,6,6,zone_ridge,1650,median_alpha=1000.0,3672
92400,2.96853,5.31486,0.423233,33.6431,0.933961,0.872927,1,3.07298,42ba25c5c4600454,occupancy,6,6,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,3672
92400,3.88595,6.55226,-0.180081,42.5999,0.933961,1.13667,1,4.19611,4fe10b9ff3bb810f,occupancy,6,6,global_ridge,6,alpha=0.1,3672
92400,2.66626,4.42949,0.383452,30.4249,0.933961,0.793301,1,2.79926,05ecf567c7dc2505,occupancy,6,6,global_gbm,1,max_iter=200;learning_rate=0.05;max_leaf_nodes=63,3672
92400,4.57509,9.65761,-0.0269805,29.6699,0.981126,1.03553,1,4.98344,11859538d1ad61e7,occupancy,6,7,last_observation,0,,4008
92400,2.64623,4.71751,-0.0737987,22.8288,0.981126,0.752858,1,2.78976,7ad398fcd0a0f655,occupancy,6,7,seasonal_naive_daily,0,,4008
92400,3.61018,5.81046,-0.600628,37.95,0.981126,1.12646,1,3.84225,fd5825e9cfbad0ca,occupancy,6,7,seasonal_naive_weekly,0,,4008
92400,2.27623,3.87793,-0.186805,20.364,0.981126,0.643064,1,2.42499,70fc504964466307,occupancy,6,7,autoregressive,275,order=24,4008
92400,2.58414,4.34613,-0.601263,22.9927,0.981126,0.711999,1,2.8032,6865cf46e502ff96,occupancy,6,7,zone_ridge,1650,median_alpha=100.0,4008
92400,2.40109,4.3178,-0.508818,22.8211,0.981126,0.698987,1,2.6109,543099506bb1eb7b,occupancy,6,7,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,4008
92400,3.5822,6.00437,-0.584311,34.427,0.981126,1.05673,1,3.88459,d79dbfdc90a2ffff,occupancy,6,7,global_ridge,6,alpha=0.1,4008
92400,2.28207,3.69024,-0.22641,21.8222,0.981126,0.664005,1,2.461,d6c89ff538466c48,occupancy,6,7,global_gbm,1,max_iter=200;learning_rate=0.05;max_leaf_nodes=63,4008
92400,3.54498,6.44286,-0.0323593,33.0718,0.983452,0.970461,1,3.8342,97c49f3b8b90fca3,occupancy,24,0,last_observation,0,,1656
92400,3.54498,6.44286,-0.0323593,33.0718,0.983452,0.970461,1,3.8342,50514e8b2a524808,occupancy,24,0,seasonal_naive_daily,0,,1656
92400,4.08423,7.807,-0.692451,36.6606,0.983452,1.11335,1,4.48433,3dff14fc8468878b,occupancy,24,0,seasonal_naive_weekly,0,,1656
92400,3.33131,5.67791,-0.0857905,31.0423,0.983452,0.88743,1,3.64687,c77103f9aecb2815,occupancy,24,0,autoregressive,275,order=24,1656
92400,3.33405,5.60082,-0.52368,30.3005,0.983452,0.893855,1,3.69563,5551e6d21718c790,occupancy,24,0,zone_ridge,1650,median_alpha=1000.0,1656
92400,3.49247,6.46034,-0.875508,31.9324,0.983452,0.962413,1,3.89706,7e6dd05d7560cd9b,occupancy,24,0,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,1656
92400,3.40459,5.68019,-0.697058,31.5869,0.983452,0.956412,1,3.77447,1774596bef161915,occupancy,24,0,global_ridge,6,alpha=1.0,1656
92400,3.48221,6.15707,-1.29355,30.3938,0.983452,0.923887,1,3.9596,da3e5a750ddf8b96,occupancy,24,0,global_gbm,1,max_iter=200;learning_rate=0.05;max_leaf_nodes=63,1656
92400,3.42666,5.91528,-0.0237338,32.2072,0.981634,0.946386,1,3.64112,6429a9239f3cb3ae,occupancy,24,1,last_observation,0,,1992
92400,3.42666,5.91528,-0.0237338,32.2072,0.981634,0.946386,1,3.64112,5c7c9212cf8c703b,occupancy,24,1,seasonal_naive_daily,0,,1992
92400,3.54009,6.07405,0.0531926,34.0487,0.981634,1.00549,1,3.80539,e0e3c4fec91eb205,occupancy,24,1,seasonal_naive_weekly,0,,1992
92400,3.23836,5.29135,0.153835,30.5473,0.981634,0.870863,1,3.4554,26869cc53901d23c,occupancy,24,1,autoregressive,275,order=24,1992
92400,3.28458,5.29912,-0.0738534,30.5965,0.981634,0.890542,1,3.54,c2cb95bea10f129a,occupancy,24,1,zone_ridge,1650,median_alpha=1000.0,1992
92400,3.22119,5.13937,0.263831,32.5176,0.981634,0.921227,1,3.46113,951481ff07754b91,occupancy,24,1,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,1992
92400,3.27943,5.27161,-0.156719,31.361,0.981634,0.918304,1,3.53622,3ae5972a731a9c11,occupancy,24,1,global_ridge,6,alpha=1000.0,1992
92400,3.07705,4.84565,0.0228541,30.4468,0.981634,0.866485,1,3.30759,2e583cc0623abe18,occupancy,24,1,global_gbm,1,max_iter=200;learning_rate=0.05;max_leaf_nodes=63,1992
92400,3.68488,7.35033,0.00938853,32.0221,0.984145,0.995388,1,4.026,cfe9d28e75c5b104,occupancy,24,2,last_observation,0,,2328
92400,3.68488,7.35033,0.00938853,32.0221,0.984145,0.995388,1,4.026,e9e5122c3ff08d13,occupancy,24,2,seasonal_naive_daily,0,,2328
92400,4.01225,7.72505,-0.227662,35.0202,0.984145,1.12649,1,4.41204,07cc15006710d838,occupancy,24,2,seasonal_naive_weekly,0,,2328
92400,3.4372,6.32169,-0.357253,29.8825,0.984145,0.949299,1,3.85245,2d444a94e2980151,occupancy,24,2,autoregressive,275,order=24,2328
92400,3.51757,7.11848,-0.724424,29.3934,0.984145,0.972586,1,3.95031,4a4891aab28c9eda,occupancy,24,2,zone_ridge,1650,median_alpha=1000.0,2328
92400,3.38244,6.47141,-0.536344,30.2868,0.984145,0.970146,1,3.77402,153edd3bf814843f,occupancy,24,2,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,2328
92400,3.49129,6.2884,-0.48324,31.3604,0.984145,0.991705,1,3.91112,fccd5fe72146f974,occupancy,24,2,global_ridge,6,alpha=1000.0,2328
92400,3.14842,5.76881,-0.0104736,29.5978,0.984145,0.884216,1,3.48724,7ff0ea376979db68,occupancy,24,2,global_gbm,1,max_iter=200;learning_rate=0.05;max_leaf_nodes=63,2328
92400,2.83362,4.98082,-0.0265963,28.2185,0.9725,0.786294,1,3.05571,04be62bfc383fe34,occupancy,24,3,last_observation,0,,2664
92400,2.83362,4.98082,-0.0265963,28.2185,0.9725,0.786294,1,3.05571,d6391b15cfea2683,occupancy,24,3,seasonal_naive_daily,0,,2664
92400,3.98265,6.71058,0.295758,38.5037,0.9725,1.0717,1,4.28338,7152ef118af28d2b,occupancy,24,3,seasonal_naive_weekly,0,,2664
92400,2.91238,4.90176,0.512227,29.5078,0.9725,0.782164,1,3.12045,66b445219b1f13eb,occupancy,24,3,autoregressive,275,order=24,2664
92400,2.972,4.82099,0.438942,30.3335,0.9725,0.80707,1,3.18418,1cbe893ff2b642c9,occupancy,24,3,zone_ridge,1650,median_alpha=1000.0,2664
92400,3.39808,5.72689,0.609806,35.6438,0.9725,0.92588,1,3.62092,2f6493ff1c73a313,occupancy,24,3,zone_gbm,275,max_iter=60;learning_rate=0.1;max_depth=4;min_samples_leaf=20,2664
92400,2.84474,4.66878,-0.222818,28.3634,0.9725,0.808343,1,3.14161,3215bd2ae4adecb9,occupancy,24,3,global_ridge,6,alpha=1000.0,2664
92400,2.65763,4.39693,0.170503,26.8365,0.9725,0.739963,1,2.88106,1e4ccf8be35a2fcd,occupancy,24,3,global_gbm,1,max_iter=200;learning_rate=0.05;max_leaf_nodes=63,2664
92400,3.18781,5.40025,0.134881,31.3316,0.979665,0.910853,1,3.37538,d781161503dfd593,occupancy,24,4,last_observation,0,,3000
92400,3.18781,5.40025,0.134881,31.3316,0.979665,0.910853,1,3.37538,9b7a0425572a39af,occupancy,24,4,seasonal_naive_daily,0,,3000
