zone_id,capacity_points,mean_service_hours,kw_per_point_hour_rated,kw_per_point_hour_11kw,mean_utilisation,mean_offered_erlangs,mean_carried_erlangs,peak_offered_erlangs
771,24,3.5,6.26188,6.2623,0.472021,12.0078,11.3285,46.1369
773,40,2,14,11.0095,0.328983,13.2041,13.1593,78.088
775,26,1,240,11.028,0.512245,14.8086,13.3184,50.1279
777,121,1,158.554,9.61094,0.23607,28.5645,28.5645,83.0015
781,35,1,37.6028,7.85895,0.287378,10.0585,10.0582,25.3382
783,24,3.5,7,7.00731,0.215283,5.16679,5.16678,11.0029
790,32,3.5,5.21727,5.21973,0.445442,14.3598,14.2541,62.107
792,6,3.5,7,7.00286,0.417012,2.88606,2.50207,10.3886
795,102,3.5,7.85369,7.92181,0.415755,42.4661,42.407,202.037
799,83,3.5,6.83611,6.83988,0.306913,25.567,25.4738,164.045
802,58,3.5,7,7.00285,0.303395,17.6626,17.5969,114.063
804,47,1,64.2032,9.16392,0.134752,6.33333,6.33333,14
805,12,3.5,7,7.00269,0.325372,5.16926,3.90447,22.2381
809,68,3.5,7,7.00408,0.490376,33.4479,33.3455,134.054
832,36,3.5,6.8567,6.86145,0.44933,16.2654,16.1759,70.0966
842,90,3.5,7,7.00052,0.360756,32.5166,32.468,178.042
844,66,1,197.124,11.0034,0.330498,22.417,21.8128,130.056
848,12,3.5,7,7.00749,0.353495,4.46398,4.24194,22.2381
849,74,3.5,4.6863,4.6897,0.254663,18.8951,18.8451,146.05
851,142,3.5,5.68305,5.68612,0.462046,65.7427,65.6105,282.027
852,8,3.5,6.80579,6.81528,0.299422,2.51685,2.39537,12.615
855,186,3.5,6.89753,6.90125,0.281363,52.3334,52.3334,101
858,138,1,27.3097,7.65739,0.387564,53.5667,53.4839,274.028
862,36,3.5,7,7.00285,0.168214,6.05577,6.05571,24.1282
881,88,3.5,7,7.00344,0.457486,47.5657,40.2587,174.043
882,15,3.5,7,11.0031,0.752778,14.6119,11.2917,28.2005
883,12,3.5,7,7.00803,0.338436,4.13201,4.06123,22.2381
887,36,3.5,7,7.0031,0.271415,9.86181,9.77095,70.0966
888,140,3.5,6.95164,6.95546,0.386165,54.263,54.0631,278.027
890,18,3.5,3.5,3.50085,0.551335,17.5007,9.92403,34.1734
891,54,1,93.6365,11.1455,0.286244,15.4572,15.4572,28.0001
893,18,3.5,7,7.00649,0.0922537,1.66057,1.66057,6.00024
895,45,1,177.227,11.0408,0.21569,9.87734,9.70603,88.0792
897,35,1,37.3656,7.75088,0.217183,7.60175,7.6014,23.1122
900,12,3.5,7,7.00368,0.316682,3.85242,3.80018,22.2381
901,17,3.5,7,7.00136,0.0961908,1.63526,1.63524,6.00071
902,70,3.5,7,7.00147,0.104078,7.28545,7.28545,24
903,57,3.5,6.80133,6.80523,0.222242,12.7312,12.6678,112.064
904,54,3.5,7,7.00473,0.21664,11.699,11.6985,43.8441
937,22,3.5,7,7.0088,0.180233,3.97881,3.96512,18.305
943,21,3.5,7,7.00922,0.418136,9.00626,8.78085,40.1529
958,45,3.5,7,7.00708,0.266636,11.9991,11.9986,35.7428
965,129,3.5,7.56828,7.57158,0.391687,50.6162,50.5276,256.03
966,185,3.5,7.20651,7.21029,0.27779,51.5188,51.3911,368.021
967,24,3.5,7,7.00412,0.277792,6.66818,6.66701,17.5119
969,50,3.5,7,7.00355,0.23497,11.7488,11.7485,38.46
972,75,3.5,7,7.00467,0.371924,27.9784,27.8943,148.05
974,123,3.5,7,7.00247,0.405585,49.9782,49.887,244.031
975,18,3.5,7,7.00518,0.243554,4.40539,4.38398,34.1734
977,29,3.5,6.51647,6.52011,0.149858,4.34594,4.34588,18.0834
979,16,3.5,7,7.00483,0.179623,2.87449,2.87396,9.10966
981,49,2,11.0333,10.9019,0.4125,20.2635,20.2125,96.0733
982,18,3.5,7,7.00313,0.356788,6.4658,6.42219,34.1734
983,17,3.5,7,7.0035,0.303285,5.19006,5.15585,32.1816
984,16,3.5,7,7.00485,0.16594,2.6564,2.65504,13.2156
986,125,3.5,7.88085,7.88186,0.39909,50.0317,49.8863,248.031
987,45,3.5,6.01091,6.00371,0.271071,12.2938,12.1982,88.0792
988,55,3.5,5.56975,5.57381,0.157892,8.68408,8.68405,39.1214
989,132,3.5,6.42529,6.42961,0.192874,25.4594,25.4594,58
991,17,3.5,6.12082,6.12385,0.375596,6.41874,6.38513,32.1816
996,119,3.5,6.93061,6.93348,0.406377,48.4679,48.3589,236.032
998,118,3.5,6.63691,6.64004,0.191037,22.5424,22.5424,61
1000,194,3.5,5.43194,5.43464,0.252134,48.9139,48.9139,145.002
1009,207,3.5,6.61435,6.79348,0.248605,51.4612,51.4612,106
1011,332,3.5,6.55252,6.55625,0.247159,82.0569,82.0569,169
1015,96,3.5,7,7.00321,0.179753,17.2563,17.2563,41
1026,77,1,125.587,9.82508,0.373182,28.8461,28.735,152.048
1029,36,1,120,11.1999,0.820877,35.1658,29.5516,70.0966
1031,151,2,12.2036,7.31616,0.269996,40.7695,40.7695,90
1043,68,3.5,5.32352,5.32536,0.291902,19.8501,19.8493,57.1166
1049,200,3.5,7.49655,7.49991,0.37336,74.8094,74.672,398.019
1060,40,3.5,7,7.00516,0.0596081,2.38432,2.38432,9
1061,99,3.5,6.83202,6.83747,0.170524,16.8819,16.8819,41
1062,102,3.5,6.77913,6.7827,0.161574,16.4805,16.4805,55
1066,40,3.5,6.30761,6.31155,0.190311,7.61268,7.61245,29.332
1067,49,3.5,6.92148,6.92522,0.336251,16.4763,16.4763,30.0111
1068,227,3.5,6.79133,6.79274,0.282773,64.1896,64.1896,123
1071,72,3.5,6.62536,6.6278,0.39231,28.4001,28.2463,142.051
1072,67,3.5,5.77888,5.78361,0.211852,14.1941,14.1941,49.1305
1074,62,3.5,6.97782,6.98084,0.180113,11.167,11.167,31
1075,16,3.5,7,7.00496,0.320514,5.19178,5.12822,30.1906
1076,42,3.5,7,7.00162,0.155041,6.51174,6.51174,18
1081,47,3.5,7,7.00484,0.179612,8.44176,8.44176,21
1082,21,3.5,5.59816,5.60473,0.252061,5.29463,5.29328,15.6401
1083,44,3.5,7.21233,7.215,0.334803,14.7524,14.7314,86.0808
1085,59,3.5,5.01162,5.01274,0.280162,16.5296,16.5296,37.0076
1087,70,3.5,5.69824,6.96262,0.184585,12.9209,12.9209,26
1088,69,3.5,4.18568,4.18706,0.172086,11.874,11.874,43.0027
1090,34,3.5,6.27856,6.28068,0.174202,5.92292,5.92288,23.1765
1092,24,3.5,4.19526,4.19621,0.122899,2.94959,2.94959,9.00014
1094,18,3.5,7,7.00354,0.278494,5.04758,5.01289,34.1734
1095,29,3.5,7,7.00275,0.248682,7.21325,7.21179,26.2902
1096,70,3.5,7.64174,7.17403,0.135953,9.51669,9.51669,21
1098,60,1,68.3793,68.7259,0.430744,25.9022,25.8446,118.061
1099,18,3.5,7,7.00431,0.229499,4.15232,4.13099,34.1734
1100,69,3.5,6.88038,6.8833,0.244297,16.8565,16.8565,38.0001
1102,104,3.5,6.62808,6.63058,0.171705,17.8573,17.8573,38
1104,27,3.5,6.85894,6.86128,0.119369,3.22295,3.22295,8
1106,22,3.5,6.77238,6.77399,0.165584,3.6429,3.64284,13.0907
1107,12,3.5,5.30287,5.30805,0.121873,1.46273,1.46248,6.07436
1109,56,3.5,6.87204,6.87701,0.086922,4.86763,4.86763,12
1110,33,3.5,7,7.00659,0.20961,6.95293,6.91713,64.1042
1111,59,3.5,6.71725,6.72001,0.233457,13.7739,13.7739,26
1112,18,3.5,7,7.01046,0.185889,3.34821,3.34599,13.8113
1113,55,3.5,6.55362,6.55653,0.106155,5.83851,5.83851,13
1114,45,3.5,6.7594,9.36886,0.0578908,2.60509,2.60509,15
1115,62,3.5,6.73353,6.73665,0.235659,14.6108,14.6108,37.0017
1119,93,3.5,7,7.00415,0.176614,16.4251,16.4251,38
1120,91,3.5,5.64449,5.64621,0.173826,15.8181,15.8181,58.0008
1121,37,3.5,6.79225,6.79587,0.292342,10.8167,10.8166,20.0041
1124,61,1,96.8113,10.1829,0.45702,27.9361,27.8782,120.06
1125,10,3.5,7,7.00204,0.157574,1.59849,1.57574,18.2726
1126,24,3.5,6.16766,6.16968,0.266263,6.39164,6.39031,18.9105
1130,14,3.5,7,7.01351,0.10281,1.43934,1.43934,4.00023
1134,58,3.5,7,7.00481,0.132886,7.70741,7.70741,22
1135,48,3.5,7,7.00652,0.150737,7.23538,7.23538,14
1137,130,3.5,7,7.00354,0.290288,37.7375,37.7375,75
1138,16,3.5,7,7.00246,0.115483,1.84829,1.84772,11.5919
1143,26,3.5,7,7.00371,0.12577,3.27003,3.27003,12.0021
1144,68,3.5,6.61235,6.61698,0.196535,13.3644,13.3644,33
1149,48,3.5,6.8285,6.83562,0.296971,14.2546,14.2546,28.0046
1154,22,3.5,7,7.00422,0.155151,3.41334,3.41333,10.0041
1156,30,3.5,7,7.00643,0.229236,6.87708,6.87707,15.0033
1159,114,3.5,6.30901,6.31151,0.25038,28.5433,28.5433,58
1162,22,3.5,6.23133,6.23566,0.257994,5.71185,5.67587,42.1472
1163,18,3.5,7,7.00454,0.115958,2.08726,2.08725,7.00163
1164,88,3.5,6.05836,6.06196,0.369841,32.546,32.546,49
1166,82,3.5,6.89785,6.89996,0.286324,23.4786,23.4786,53.0026
1167,373,1,40.6624,7.62719,0.368109,137.479,137.305,744.011
1168,43,3.5,9.25113,9.69967,0.191595,8.23863,8.2386,28.0561
1172,9,3.5,6.20575,6.21044,0.34799,3.31856,3.13191,16.2942
1173,38,3.5,6.73274,6.73719,0.242761,9.22491,9.22491,19.0008
